name,iters,time,cycles,cpuTime,utime,stime,maxrss,minflt,majflt,nvcsw,nivcsw,allocated,numGcs,bytesCopied,mutatorWallSeconds,mutatorCpuSeconds,gcWallSeconds,gcCpuSeconds
Z3/v-->v/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,1,55.16212668,132068594908,32.991529512,22.15314,10.838441,3917008,1113519,0,1132355,6,,,,,,,
Z3/v-->v/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,2,109.993849275,263346071896,65.152906354,44.238812,20.914149,4157212,2037909,0,2258204,20,,,,,,,
Z3/v-->v/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,3,162.988165918,390225547684,95.655765974,66.027595,29.628287,4158000,1688448,0,3389750,67,,,,,,,
Z3/v-->v/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,4,275.084200323,658604040120,164.798357128,109.712549,55.085858,4158116,8893261,0,4467918,23092,,,,,,,
Z3/v-->v/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,5,380.053033251,909918236666,213.720617009,153.5624,60.158272,4158160,3785718,0,5526020,51046,,,,,,,
Z3/v-->v/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,6,442.366734967,1059109220066,250.944068158,178.696916,72.247201,4158160,4779340,0,6711162,18740,,,,,,,
Z3/v-->v/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,7,538.324889951,1288850922134,303.037804324,219.778016,83.259843,4158160,4475331,0,7737200,71012,,,,,,,
Z3/v-->v/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,8,608.367922118,1456546676120,341.253711386,245.924314,95.32946,4159172,5812405,0,8858320,71430,,,,,,,
Z3/v-->v/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,9,622.322826641,1489958074746,355.644176098,253.911441,101.7328,4159172,7389647,0,10014300,62373,,,,,,,
Z3/v-->v/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,10,543.157708196,1300421937542,317.536642522,222.663324,94.873372,4159448,4351974,0,11251866,462,,,,,,,
Z3/v-->v/V2/Chc/0/numPlain/687613/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,1,101.711088123,243515567520,58.265233213,41.80699,16.458296,4326464,1135059,0,1511057,18537,,,,,,,
Z3/v-->v/V2/Chc/0/numPlain/687613/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,2,201.877507255,483332862590,115.569753136,83.202982,32.366838,4604428,1451559,0,3034676,30980,,,,,,,
Z3/v-->v/V2/Chc/0/numPlain/687613/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,3,301.607115783,722104319518,174.374040246,126.005954,48.368187,4605620,1913540,0,4539069,53035,,,,,,,
Z3/v-->v/V2/Chc/0/numPlain/687613/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,4,391.115757488,936404648234,229.808908269,165.594468,64.214495,4605620,3839499,0,6132474,27825,,,,,,,
Z3/v-->v/V2/Chc/0/numPlain/687613/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,5,489.228305623,1171305209172,282.935330049,204.296127,78.639292,4605620,3772109,0,7649167,42322,,,,,,,
Z3/v-->v/V2/Chc/0/numPlain/687613/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,6,615.12388463,1472722697452,348.330370166,251.457906,96.872523,4605620,6018340,0,9150705,67865,,,,,,,
Z3/v-->v/V2/Chc/0/numPlain/687613/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,7,722.859856338,1730661504852,414.067882875,301.422497,112.645433,4605640,5794818,0,10599921,120851,,,,,,,
Z3/v-->v/V2/Chc/0/numPlain/687613/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,8,791.198052772,1894276655220,460.278109252,332.793881,127.484287,4606660,6926845,0,12207510,85483,,,,,,,
Z3/v-->v/V2/Chc/0/numPlain/687613/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,9,898.01038184,2150005117876,524.613449229,378.948456,145.665053,4606660,8306320,0,13750368,89232,,,,,,,
Z3/v-->v/V2/Chc/0/numPlain/687613/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,10,1001.537707385,2397869204468,589.449695517,420.812725,168.637053,4606660,15015711,0,15264814,106490,,,,,,,
Z3/v-->v/V3/Chc/0/numPlain/77192/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,1,17.622592197,42191881206,11.952687843,9.092156,2.860592,4606660,53789,0,284386,3001,,,,,,,
Z3/v-->v/V3/Chc/0/numPlain/77192/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,2,34.49338357,82583689416,25.09614366,19.468151,5.628051,4606660,144701,0,567793,6485,,,,,,,
Z3/v-->v/V3/Chc/0/numPlain/77192/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,3,53.654108833,128458047966,38.664478847,29.870119,8.794407,4606660,381019,0,857971,7178,,,,,,,
Z3/v-->v/V3/Chc/0/numPlain/77192/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,4,72.276742664,173044133368,51.467981835,39.628024,11.840017,4606660,482143,0,1138317,12311,,,,,,,
Z3/v-->v/V3/Chc/0/numPlain/77192/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,5,92.50283078,221469220636,66.29186368,51.581777,14.71015,4606660,484563,0,1418791,17586,,,,,,,
