Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Z3/v-->p/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,56.77027200769353,54.56124988733639,59.68919897335436,4.196047246789263,2.9215838358230704,5.579969867966601
Z3/v-->p/V2/Chc/0/numPlain/687613/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,71.94925689068342,71.04064896525674,73.32827883298452,1.9586441379560422,0.9379720517260255,3.101102527911775
Z3/v-->p/V3/Chc/0/numPlain/77192/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,9.238940410304604,9.041209966535714,9.374329310220714,0.2626559641717876,0.17672699536766992,0.4140952149735106
Z3/v-->p/V4/Chc/0/numPlain/70791/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,8.588976515538333,8.325409991795,8.904638649795,0.4777676249538881,0.3561011118237232,0.6999836240651974
name,iters,time,cycles,cpuTime,utime,stime,maxrss,minflt,majflt,nvcsw,nivcsw,allocated,numGcs,bytesCopied,mutatorWallSeconds,mutatorCpuSeconds,gcWallSeconds,gcCpuSeconds
Z3/v-->p/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,1,56.681244481,135705699628,32.672439468,20.060452,12.612035,3690444,1546679,0,1102025,25,,,,,,,
Z3/v-->p/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,2,112.961131877,270450428338,62.93310594,39.785398,23.147777,4061572,2252043,0,2203098,56,,,,,,,
Z3/v-->p/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,3,175.674711708,420598692998,103.140456236,61.983431,41.157145,4061572,6847723,0,3302028,99,,,,,,,
Z3/v-->p/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,4,211.626481647,506673999698,117.176430792,76.674194,40.502284,4062532,4182995,0,4401656,65,,,,,,,
Z3/v-->p/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,5,262.065558606,627434699118,142.702078448,94.659954,48.042173,4062624,3265456,0,5502496,101,,,,,,,
Z3/v-->p/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,6,321.123142665,768829648422,176.08938613,115.767381,60.322052,4062624,5926981,0,6604502,132,,,,,,,
Z3/v-->p/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,7,385.35551292,922614205512,220.702758903,140.436418,80.266392,4063740,10785701,0,7703751,208,,,,,,,
Z3/v-->p/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,8,417.064339383,998531143708,232.05518093,153.453329,78.60192,4063784,7187161,0,8804528,142,,,,,,,
Z3/v-->p/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,9,480.663612366,1150799161290,268.776280256,176.71754,92.058791,4063884,8308360,0,9906412,229,,,,,,,
Z3/v-->p/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,10,529.84933073,1268559525538,292.72861954,193.93484,98.793821,4063884,8380579,0,11006848,170,,,,,,,
Z3/v-->p/V2/Chc/0/numPlain/687613/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,1,70.098726051,167829737448,39.377745976,26.092121,13.28574,4128384,654920,0,1524024,19,,,,,,,
Z3/v-->p/V2/Chc/0/numPlain/687613/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,2,164.474754658,393783875916,99.007227447,61.644429,37.362842,4662628,2780184,0,3055537,99,,,,,,,
Z3/v-->p/V2/Chc/0/numPlain/687613/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,3,228.594221663,547297903416,137.228648411,87.450126,49.778573,4663756,4365572,0,4574124,70,,,,,,,
Z3/v-->p/V2/Chc/0/numPlain/687613/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,4,281.451226111,673847570784,161.911736043,108.100786,53.811012,4663868,3453591,0,6096343,135,,,,,,,
Z3/v-->p/V2/Chc/0/numPlain/687613/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,5,366.545735053,877579939318,217.639617124,141.503047,76.136616,4663952,11645900,0,7624829,146,,,,,,,
Z3/v-->p/V2/Chc/0/numPlain/687613/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,6,460.211715174,1101833881500,274.743477885,175.440643,99.302901,4664020,10884427,0,9154023,209,,,,,,,
Z3/v-->p/V2/Chc/0/numPlain/687613/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,7,495.064953917,1185279310910,286.599700685,191.408686,95.191062,4664020,7371993,0,10672264,205,,,,,,,
Z3/v-->p/V2/Chc/0/numPlain/687613/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,8,570.891461587,1366822660290,330.86142469,221.422207,109.43927,4664020,6498594,0,12198533,267,,,,,,,
Z3/v-->p/V2/Chc/0/numPlain/687613/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,9,633.532499881,1516797008990,364.170676852,245.967207,118.203539,4664024,5406124,0,13721543,238,,,,,,,
Z3/v-->p/V2/Chc/0/numPlain/687613/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,10,721.725122833,1727946439416,419.993282503,279.972402,140.020936,4664060,11013272,0,15245550,277,,,,,,,
Z3/v-->p/V3/Chc/0/numPlain/77192/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,1,8.800012657,21068942590,5.717629317,3.956682,1.760998,4664060,41575,0,226038,3,,,,,,,
Z3/v-->p/V3/Chc/0/numPlain/77192/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,2,18.290853522,43791815314,12.482648179,8.526359,3.956334,4664060,246822,0,451994,3,,,,,,,
Z3/v-->p/V3/Chc/0/numPlain/77192/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,3,29.197389723,69904151304,19.308569017,12.787936,6.520692,4664060,332182,0,677771,8,,,,,,,
Z3/v-->p/V3/Chc/0/numPlain/77192/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,4,36.58334714,87587533856,24.456963198,16.620177,7.836831,4664060,126215,0,902939,17,,,,,,,
Z3/v-->p/V3/Chc/0/numPlain/77192/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,5,45.637712198,109265416390,29.531142331,20.050239,9.480949,4664060,320661,0,1127815,16,,,,,,,
Z3/v-->p/V3/Chc/0/numPlain/77192/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,6,56.177599851,134499911300,36.4452351,24.477372,11.967907,4664060,398294,0,1353474,26,,,,,,,
Z3/v-->p/V3/Chc/0/numPlain/77192/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,7,62.927426002,150660257908,41.440633773,28.231913,13.208773,4664060,299236,0,1579945,36,,,,,,,
Z3/v-->p/V3/Chc/0/numPlain/77192/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,8,74.014714668,177205307402,47.875098379,32.532863,15.342279,4664060,419369,0,1805266,89,,,,,,,
Z3/v-->p/V3/Chc/0/numPlain/77192/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,9,81.876387181,196027664602,54.65773428,37.249702,17.408096,4664060,322008,0,2030896,217,,,,,,,
Z3/v-->p/V3/Chc/0/numPlain/77192/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,10,90.58081826,216867710604,59.572747213,40.714818,18.857971,4664060,431712,0,2254836,88,,,,,,,
Z3/v-->p/V4/Chc/0/numPlain/70791/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,1,7.689195239,18409430748,5.001696024,3.209731,1.792004,4664060,1019,0,203968,0,,,,,,,
Z3/v-->p/V4/Chc/0/numPlain/70791/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,2,17.692681749,42359674484,11.345438911,7.259137,4.086346,4664060,30383,0,408922,8,,,,,,,
Z3/v-->p/V4/Chc/0/numPlain/70791/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,3,23.362511433,55934331912,15.287676181,10.060085,5.227634,4664060,47891,0,612052,13,,,,,,,
Z3/v-->p/V4/Chc/0/numPlain/70791/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,4,30.862617116,73890999784,19.497985265,12.666128,6.831896,4664060,219464,0,815777,12,,,,,,,
Z3/v-->p/V4/Chc/0/numPlain/70791/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,5,38.710475329,92680254592,25.402062116,16.789744,8.612356,4664060,245069,0,1019807,14,,,,,,,
