Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"Unique Dimensions, scaled: 1/And Decomposition",1.3358887690840185e-2,1.3358887690840185e-2,1.3358887690840185e-2,4.812357807939228e-4,4.812357807939228e-4,4.812357807939228e-4
"Unique Dimensions, scaled: 1/Variational Solve",2.3982284472778198e-2,2.3982284472778198e-2,2.3982284472778198e-2,5.532188337164633e-4,5.532188337164633e-4,5.532188337164633e-4
"Shared Dimensions, scaled: 1/And Decomposition",1.1689200769028935e-2,1.1689200769028935e-2,1.1689200769028935e-2,2.8522904389772e-4,2.8522904389772e-4,2.8522904389772e-4
"Shared Dimensions, scaled: 1/Variational Solve",1.779206611051466e-2,1.779206611051466e-2,1.779206611051466e-2,4.861382844991234e-4,4.861382844991234e-4,4.861382844991234e-4
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"Unique Dimensions, scaled: 2/And Decomposition",1.3824936987459275e-2,1.3824936987459275e-2,1.3824936987459275e-2,4.4537323821685135e-4,4.4537323821685135e-4,4.4537323821685135e-4
"Unique Dimensions, scaled: 2/Variational Solve",3.136820689607449e-2,3.136820689607449e-2,3.136820689607449e-2,5.626394587816467e-4,5.626394587816467e-4,5.626394587816467e-4
"Shared Dimensions, scaled: 2/And Decomposition",1.7555936487837206e-2,1.7555936487837206e-2,1.7555936487837206e-2,3.092016981025884e-4,3.092016981025884e-4,3.092016981025884e-4
"Shared Dimensions, scaled: 2/Variational Solve",5.0467748257940016e-2,5.0467748257940016e-2,5.0467748257940016e-2,7.377130479168854e-4,7.377130479168854e-4,7.377130479168854e-4
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"Unique Dimensions, scaled: 3/And Decomposition",9.774225019178105e-3,9.774225019178105e-3,9.774225019178105e-3,4.173549135070423e-4,4.173549135070423e-4,4.173549135070423e-4
"Unique Dimensions, scaled: 3/Variational Solve",1.1274148115915473e-2,1.1274148115915473e-2,1.1274148115915473e-2,2.997413239936633e-4,2.997413239936633e-4,2.997413239936633e-4
"Shared Dimensions, scaled: 3/And Decomposition",1.8364813318500782e-2,1.8364813318500782e-2,1.8364813318500782e-2,1.9580950117101522e-4,1.9580950117101522e-4,1.9580950117101522e-4
"Shared Dimensions, scaled: 3/Variational Solve",5.974910318624332e-2,5.974910318624332e-2,5.974910318624332e-2,7.324121444689483e-4,7.324121444689483e-4,7.324121444689483e-4
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
