name__,runNum__,scale__,time__
Unique/VSolve,1,10,8.943795e-3
name__,runNum__,scale__,time__
Shared/VSolve,1,10,3.223928e-3
name__,runNum__,scale__,time__
Unique/AndDecomp,1,10,5.009456e-3
name__,runNum__,scale__,time__
Shared/AndDecomp,1,10,3.301358e-3
name__,runNum__,scale__,time__
Unique/VSolve,2,10,8.366065e-3
name__,runNum__,scale__,time__
Shared/VSolve,2,10,8.761541e-3
name__,runNum__,scale__,time__
Unique/AndDecomp,2,10,5.337146e-3
name__,runNum__,scale__,time__
Shared/AndDecomp,2,10,5.952717e-3
name__,runNum__,scale__,time__
Unique/VSolve,3,10,8.429497e-3
name__,runNum__,scale__,time__
Shared/VSolve,3,10,4.908081e-3
name__,runNum__,scale__,time__
Unique/AndDecomp,3,10,5.237894e-3
name__,runNum__,scale__,time__
Shared/AndDecomp,3,10,4.936267e-3
name__,runNum__,scale__,time__
Unique/VSolve,4,10,2.699692e-3
name__,runNum__,scale__,time__
Shared/VSolve,4,10,9.590716e-3
name__,runNum__,scale__,time__
Unique/AndDecomp,4,10,2.887257e-3
name__,runNum__,scale__,time__
Shared/AndDecomp,4,10,5.818754e-3
name__,runNum__,scale__,time__
Unique/VSolve,5,10,6.203654e-3
name__,runNum__,scale__,time__
Shared/VSolve,5,10,1.378693e-3
name__,runNum__,scale__,time__
Unique/AndDecomp,5,10,4.851858e-3
name__,runNum__,scale__,time__
Shared/AndDecomp,5,10,1.403054e-3
name__,runNum__,scale__,time__
Unique/VSolve,6,10,7.541555e-3
name__,runNum__,scale__,time__
Shared/VSolve,6,10,1.262682e-3
name__,runNum__,scale__,time__
Unique/AndDecomp,6,10,5.049369e-3
name__,runNum__,scale__,time__
Shared/AndDecomp,6,10,1.463135e-3
name__,runNum__,scale__,time__
Unique/VSolve,7,10,7.681828e-3
name__,runNum__,scale__,time__
Shared/VSolve,7,10,1.0105186e-2
name__,runNum__,scale__,time__
Unique/AndDecomp,7,10,4.936298e-3
name__,runNum__,scale__,time__
Shared/AndDecomp,7,10,4.885583e-3
name__,runNum__,scale__,time__
Unique/VSolve,8,10,6.41143e-3
name__,runNum__,scale__,time__
Shared/VSolve,8,10,4.324136e-3
name__,runNum__,scale__,time__
Unique/AndDecomp,8,10,4.485253e-3
name__,runNum__,scale__,time__
Shared/AndDecomp,8,10,3.171552e-3
name__,runNum__,scale__,time__
Unique/VSolve,9,10,5.048102e-3
name__,runNum__,scale__,time__
Shared/VSolve,9,10,4.549814e-3
name__,runNum__,scale__,time__
Unique/AndDecomp,9,10,4.199046e-3
name__,runNum__,scale__,time__
Shared/AndDecomp,9,10,5.57601e-3
name__,runNum__,scale__,time__
Unique/VSolve,10,10,5.097544e-3
name__,runNum__,scale__,time__
Shared/VSolve,10,10,2.576124e-3
name__,runNum__,scale__,time__
Unique/AndDecomp,10,10,5.092444e-3
name__,runNum__,scale__,time__
Shared/AndDecomp,10,10,3.046917e-3
name__,runNum__,scale__,time__
Unique/VSolve,11,20,5.891039e-3
name__,runNum__,scale__,time__
Shared/VSolve,11,20,1.8172328e-2
name__,runNum__,scale__,time__
Unique/AndDecomp,11,20,4.889976e-3
name__,runNum__,scale__,time__
Shared/AndDecomp,11,20,9.872944e-3
name__,runNum__,scale__,time__
Unique/VSolve,12,20,1.7961758e-2
name__,runNum__,scale__,time__
Shared/VSolve,12,20,8.754003e-3
name__,runNum__,scale__,time__
Unique/AndDecomp,12,20,8.556496e-3
name__,runNum__,scale__,time__
Shared/AndDecomp,12,20,5.915522e-3
name__,runNum__,scale__,time__
Unique/VSolve,13,20,1.3883258e-2
name__,runNum__,scale__,time__
Shared/VSolve,13,20,1.478291e-3
name__,runNum__,scale__,time__
Unique/AndDecomp,13,20,8.635353e-3
name__,runNum__,scale__,time__
Shared/AndDecomp,13,20,1.447718e-3
name__,runNum__,scale__,time__
Unique/VSolve,14,20,1.3550835e-2
name__,runNum__,scale__,time__
Shared/VSolve,14,20,6.043754e-3
name__,runNum__,scale__,time__
Unique/AndDecomp,14,20,8.877222e-3
name__,runNum__,scale__,time__
Shared/AndDecomp,14,20,3.603225e-3
name__,runNum__,scale__,time__
Unique/VSolve,15,20,7.656646e-3
name__,runNum__,scale__,time__
Shared/VSolve,15,20,1.887413e-2
name__,runNum__,scale__,time__
Unique/AndDecomp,15,20,4.917287e-3
name__,runNum__,scale__,time__
Shared/AndDecomp,15,20,8.547833e-3
name__,runNum__,scale__,time__
Unique/VSolve,16,20,9.23302e-3
name__,runNum__,scale__,time__
Shared/VSolve,16,20,2.384819e-2
name__,runNum__,scale__,time__
Unique/AndDecomp,16,20,6.710507e-3
name__,runNum__,scale__,time__
Shared/AndDecomp,16,20,9.194129e-3
name__,runNum__,scale__,time__
Unique/VSolve,17,20,1.562207e-3
name__,runNum__,scale__,time__
Shared/VSolve,17,20,1.1933771e-2
name__,runNum__,scale__,time__
Unique/AndDecomp,17,20,1.403858e-3
name__,runNum__,scale__,time__
Shared/AndDecomp,17,20,6.545826e-3
name__,runNum__,scale__,time__
Unique/VSolve,18,20,1.1092229e-2
name__,runNum__,scale__,time__
Shared/VSolve,18,20,4.0284812e-2
name__,runNum__,scale__,time__
Unique/AndDecomp,18,20,7.528933e-3
name__,runNum__,scale__,time__
Shared/AndDecomp,18,20,9.619828e-3
name__,runNum__,scale__,time__
Unique/VSolve,19,20,2.6924756e-2
name__,runNum__,scale__,time__
Shared/VSolve,19,20,3.8047249e-2
name__,runNum__,scale__,time__
Unique/AndDecomp,19,20,9.524162e-3
name__,runNum__,scale__,time__
Shared/AndDecomp,19,20,1.0627198e-2
