name__,runNum__,scale__,time__
Unique/VSolve,1,10,2.173703e-3
name__,runNum__,scale__,time__
Shared/VSolve,1,10,6.951876e-3
name__,runNum__,scale__,time__
Unique/AndDecomp,1,10,1.497355e-3
name__,runNum__,scale__,time__
Shared/AndDecomp,1,10,4.783835e-3
name__,runNum__,scale__,time__
Unique/VSolve,2,10,4.095273e-3
name__,runNum__,scale__,time__
Shared/VSolve,2,10,4.157892e-3
name__,runNum__,scale__,time__
Unique/AndDecomp,2,10,2.987226e-3
name__,runNum__,scale__,time__
Shared/AndDecomp,2,10,3.354962e-3
name__,runNum__,scale__,time__
Unique/VSolve,3,10,6.422093e-3
name__,runNum__,scale__,time__
Shared/VSolve,3,10,3.166909e-3
name__,runNum__,scale__,time__
Unique/AndDecomp,3,10,3.841506e-3
name__,runNum__,scale__,time__
Shared/AndDecomp,3,10,3.466654e-3
name__,runNum__,scale__,time__
Unique/VSolve,4,10,5.451822e-3
name__,runNum__,scale__,time__
Shared/VSolve,4,10,3.67246e-3
name__,runNum__,scale__,time__
Unique/AndDecomp,4,10,4.532471e-3
name__,runNum__,scale__,time__
Shared/AndDecomp,4,10,4.940122e-3
name__,runNum__,scale__,time__
Unique/VSolve,5,10,5.128199e-3
name__,runNum__,scale__,time__
Shared/VSolve,5,10,5.535368e-3
name__,runNum__,scale__,time__
Unique/AndDecomp,5,10,4.416212e-3
name__,runNum__,scale__,time__
Shared/AndDecomp,5,10,4.742705e-3
name__,runNum__,scale__,time__
Unique/VSolve,6,10,5.86488e-3
name__,runNum__,scale__,time__
Shared/VSolve,6,10,9.343276e-3
name__,runNum__,scale__,time__
Unique/AndDecomp,6,10,5.176942e-3
name__,runNum__,scale__,time__
Shared/AndDecomp,6,10,4.773352e-3
name__,runNum__,scale__,time__
Unique/VSolve,7,10,2.974008e-3
name__,runNum__,scale__,time__
Shared/VSolve,7,10,5.204385e-3
name__,runNum__,scale__,time__
Unique/AndDecomp,7,10,2.410312e-3
name__,runNum__,scale__,time__
Shared/AndDecomp,7,10,3.092355e-3
name__,runNum__,scale__,time__
Unique/VSolve,8,10,3.463808e-3
name__,runNum__,scale__,time__
Shared/VSolve,8,10,3.383327e-3
name__,runNum__,scale__,time__
Unique/AndDecomp,8,10,5.197549e-3
name__,runNum__,scale__,time__
Shared/AndDecomp,8,10,2.883337e-3
name__,runNum__,scale__,time__
Unique/VSolve,9,10,5.274921e-3
name__,runNum__,scale__,time__
Shared/VSolve,9,10,4.399367e-3
name__,runNum__,scale__,time__
Unique/AndDecomp,9,10,4.396081e-3
name__,runNum__,scale__,time__
Shared/AndDecomp,9,10,3.538037e-3
name__,runNum__,scale__,time__
Unique/VSolve,10,10,6.483e-3
name__,runNum__,scale__,time__
Shared/VSolve,10,10,5.533781e-3
name__,runNum__,scale__,time__
Unique/AndDecomp,10,10,3.683146e-3
name__,runNum__,scale__,time__
Shared/AndDecomp,10,10,4.128426e-3
name__,runNum__,scale__,time__
Unique/VSolve,11,20,2.1570948e-2
name__,runNum__,scale__,time__
Shared/VSolve,11,20,7.739277e-3
name__,runNum__,scale__,time__
Unique/AndDecomp,11,20,8.205343e-3
name__,runNum__,scale__,time__
Shared/AndDecomp,11,20,5.069233e-3
name__,runNum__,scale__,time__
Unique/VSolve,12,20,8.138984e-3
