name__,runNum__,scale__,time__
Shared/VSolve,1,10,6.326042e-3
name__,runNum__,scale__,time__
Unique/VSolve,1,10,3.481004e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,1,10,3.649196e-3
name__,runNum__,scale__,time__
Unique/ChcDecomp,1,10,3.826064e-3
name__,runNum__,scale__,time__
Shared/VSolve,2,10,4.387132e-3
name__,runNum__,scale__,time__
Unique/VSolve,2,10,4.845312e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,2,10,4.780583e-3
name__,runNum__,scale__,time__
Unique/ChcDecomp,2,10,3.623204e-3
name__,runNum__,scale__,time__
Shared/VSolve,3,10,4.793499e-3
name__,runNum__,scale__,time__
Unique/VSolve,3,10,3.924389e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,3,10,4.776231e-3
name__,runNum__,scale__,time__
Unique/ChcDecomp,3,10,3.05334e-3
name__,runNum__,scale__,time__
Shared/VSolve,4,10,8.371126e-3
name__,runNum__,scale__,time__
Unique/VSolve,4,10,2.462801e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,4,10,6.599457e-3
name__,runNum__,scale__,time__
Unique/ChcDecomp,4,10,2.237199e-3
name__,runNum__,scale__,time__
Shared/VSolve,5,10,2.305455e-3
name__,runNum__,scale__,time__
Unique/VSolve,5,10,1.262939e-2
name__,runNum__,scale__,time__
Shared/ChcDecomp,5,10,2.964418e-3
name__,runNum__,scale__,time__
Unique/ChcDecomp,5,10,8.03606e-3
name__,runNum__,scale__,time__
Shared/VSolve,6,10,5.024097e-3
name__,runNum__,scale__,time__
Unique/VSolve,6,10,4.791337e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,6,10,4.246441e-3
name__,runNum__,scale__,time__
Unique/ChcDecomp,6,10,4.206954e-3
name__,runNum__,scale__,time__
Shared/VSolve,7,10,3.107024e-3
name__,runNum__,scale__,time__
Unique/VSolve,7,10,4.352337e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,7,10,3.29831e-3
name__,runNum__,scale__,time__
Unique/ChcDecomp,7,10,4.15228e-3
name__,runNum__,scale__,time__
Shared/VSolve,8,10,3.865816e-3
name__,runNum__,scale__,time__
Unique/VSolve,8,10,3.099238e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,8,10,3.962481e-3
name__,runNum__,scale__,time__
Unique/ChcDecomp,8,10,2.439505e-3
name__,runNum__,scale__,time__
Shared/VSolve,9,10,5.834182e-3
name__,runNum__,scale__,time__
Unique/VSolve,9,10,2.618988e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,9,10,4.786622e-3
name__,runNum__,scale__,time__
Unique/ChcDecomp,9,10,2.820904e-3
name__,runNum__,scale__,time__
Shared/VSolve,10,10,4.636115e-3
name__,runNum__,scale__,time__
Unique/VSolve,10,10,8.071254e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,10,10,3.282828e-3
name__,runNum__,scale__,time__
Unique/ChcDecomp,10,10,5.933497e-3
name__,runNum__,scale__,time__
Shared/VSolve,11,10,5.714069e-3
name__,runNum__,scale__,time__
Unique/VSolve,11,10,1.1683096e-2
name__,runNum__,scale__,time__
Shared/ChcDecomp,11,10,4.310469e-3
name__,runNum__,scale__,time__
Unique/ChcDecomp,11,10,6.826788e-3
name__,runNum__,scale__,time__
Shared/VSolve,12,10,1.050337e-2
name__,runNum__,scale__,time__
Unique/VSolve,12,10,7.067051e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,12,10,7.568478e-3
name__,runNum__,scale__,time__
Unique/ChcDecomp,12,10,5.356665e-3
name__,runNum__,scale__,time__
Shared/VSolve,13,10,7.643286e-3
name__,runNum__,scale__,time__
Unique/VSolve,13,10,6.648986e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,13,10,6.699584e-3
name__,runNum__,scale__,time__
Unique/ChcDecomp,13,10,5.482003e-3
name__,runNum__,scale__,time__
Shared/VSolve,14,10,4.467237e-3
name__,runNum__,scale__,time__
Unique/VSolve,14,10,1.4543651e-2
name__,runNum__,scale__,time__
Shared/ChcDecomp,14,10,4.322016e-3
name__,runNum__,scale__,time__
Unique/ChcDecomp,14,10,6.315564e-3
