name__,runNum__,scale__,time__
Shared/VSolve,1,10,2.097989e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,1,10,2.53944e-3
name__,runNum__,scale__,time__
Shared/VSolve,2,10,5.073288e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,2,10,4.028434e-3
name__,runNum__,scale__,time__
Shared/VSolve,3,10,4.758519e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,3,10,3.792045e-3
name__,runNum__,scale__,time__
Shared/VSolve,4,10,3.263776e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,4,10,2.189656e-3
name__,runNum__,scale__,time__
Shared/VSolve,5,10,5.464817e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,5,10,5.844487e-3
name__,runNum__,scale__,time__
Shared/VSolve,6,10,2.93558e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,6,10,2.633464e-3
name__,runNum__,scale__,time__
Shared/VSolve,7,10,1.297781e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,7,10,1.444398e-3
name__,runNum__,scale__,time__
Shared/VSolve,8,10,1.218657e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,8,10,1.347717e-3
name__,runNum__,scale__,time__
Shared/VSolve,9,10,6.892518e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,9,10,5.434076e-3
name__,runNum__,scale__,time__
Shared/VSolve,10,10,2.790039e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,10,10,3.018586e-3
name__,runNum__,scale__,time__
Shared/VSolve,11,10,5.342585e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,11,10,4.433793e-3
name__,runNum__,scale__,time__
Shared/VSolve,12,10,4.550936e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,12,10,3.063524e-3
name__,runNum__,scale__,time__
Shared/VSolve,13,10,3.181184e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,13,10,2.828699e-3
name__,runNum__,scale__,time__
Shared/VSolve,14,10,3.597176e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,14,10,4.105923e-3
name__,runNum__,scale__,time__
Shared/VSolve,15,10,5.153868e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,15,10,4.650682e-3
name__,runNum__,scale__,time__
Shared/VSolve,16,10,4.160691e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,16,10,3.916186e-3
name__,runNum__,scale__,time__
Shared/VSolve,17,10,4.700035e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,17,10,3.827407e-3
name__,runNum__,scale__,time__
Shared/VSolve,18,10,2.123058e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,18,10,1.496032e-3
name__,runNum__,scale__,time__
Shared/VSolve,19,10,5.247257e-3
