name__,runNum__,scale__,time__
Shared/BForce,1,10,3.6169573e-2
name__,runNum__,scale__,time__
Shared/VSolve,1,10,9.182546e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,1,10,4.919111e-3
name__,runNum__,scale__,time__
Shared/BForce,2,10,9.235558e-3
name__,runNum__,scale__,time__
Shared/VSolve,2,10,4.170823e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,2,10,3.427752e-3
name__,runNum__,scale__,time__
Shared/BForce,3,10,3.448604e-3
name__,runNum__,scale__,time__
Shared/VSolve,3,10,2.634364e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,3,10,2.357991e-3
name__,runNum__,scale__,time__
Shared/BForce,4,10,8.045145e-3
name__,runNum__,scale__,time__
Shared/VSolve,4,10,6.925734e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,4,10,6.090082e-3
name__,runNum__,scale__,time__
Shared/BForce,5,10,2.71466e-2
name__,runNum__,scale__,time__
Shared/VSolve,5,10,7.353518e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,5,10,4.900019e-3
name__,runNum__,scale__,time__
Shared/BForce,6,10,1.554549e-3
name__,runNum__,scale__,time__
Shared/VSolve,6,10,1.355533e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,6,10,1.50771e-3
name__,runNum__,scale__,time__
Shared/BForce,7,10,3.923333e-3
name__,runNum__,scale__,time__
Shared/VSolve,7,10,3.117722e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,7,10,2.933248e-3
name__,runNum__,scale__,time__
Shared/BForce,8,10,1.6632521e-2
name__,runNum__,scale__,time__
Shared/VSolve,8,10,4.764429e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,8,10,3.273962e-3
name__,runNum__,scale__,time__
Shared/BForce,9,10,3.078209e-3
name__,runNum__,scale__,time__
Shared/VSolve,9,10,2.805032e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,9,10,3.207336e-3
name__,runNum__,scale__,time__
Shared/BForce,10,10,2.240232e-3
name__,runNum__,scale__,time__
Shared/VSolve,10,10,1.409169e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,10,10,1.439016e-3
name__,runNum__,scale__,time__
Shared/BForce,11,10,1.42397e-3
name__,runNum__,scale__,time__
Shared/VSolve,11,10,1.238783e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,11,10,1.412084e-3
name__,runNum__,scale__,time__
Shared/BForce,12,10,1.329103e-3
name__,runNum__,scale__,time__
Shared/VSolve,12,10,1.326157e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,12,10,1.559062e-3
name__,runNum__,scale__,time__
Shared/BForce,13,10,6.73471e-3
name__,runNum__,scale__,time__
Shared/VSolve,13,10,3.143451e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,13,10,3.757764e-3
name__,runNum__,scale__,time__
Shared/BForce,14,10,1.518122e-3
name__,runNum__,scale__,time__
Shared/VSolve,14,10,1.25397e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,14,10,1.3549e-3
name__,runNum__,scale__,time__
Shared/BForce,15,10,1.429297e-3
name__,runNum__,scale__,time__
Shared/VSolve,15,10,1.210989e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,15,10,1.394458e-3
name__,runNum__,scale__,time__
Shared/BForce,16,10,3.892917e-3
name__,runNum__,scale__,time__
Shared/VSolve,16,10,3.489236e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,16,10,3.176256e-3
name__,runNum__,scale__,time__
Shared/BForce,17,10,2.996214e-3
name__,runNum__,scale__,time__
Shared/VSolve,17,10,2.683847e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,17,10,2.953185e-3
name__,runNum__,scale__,time__
Shared/BForce,18,10,9.84328e-3
name__,runNum__,scale__,time__
Shared/VSolve,18,10,4.584442e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,18,10,3.418173e-3
name__,runNum__,scale__,time__
Shared/BForce,19,10,6.153182e-3
name__,runNum__,scale__,time__
Shared/VSolve,19,10,4.046094e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,19,10,4.228833e-3
name__,runNum__,scale__,time__
Shared/BForce,20,10,2.995705e-3
name__,runNum__,scale__,time__
Shared/VSolve,20,10,2.3632e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,20,10,2.952165e-3
name__,runNum__,scale__,time__
Shared/BForce,21,10,6.823355e-3
name__,runNum__,scale__,time__
Shared/VSolve,21,10,3.252978e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,21,10,3.750403e-3
name__,runNum__,scale__,time__
Shared/BForce,22,10,3.821036e-3
name__,runNum__,scale__,time__
Shared/VSolve,22,10,2.897066e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,22,10,4.398457e-3
name__,runNum__,scale__,time__
Shared/BForce,23,10,4.658651e-3
name__,runNum__,scale__,time__
Shared/VSolve,23,10,3.382413e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,23,10,3.325573e-3
name__,runNum__,scale__,time__
Shared/BForce,24,10,2.4501473e-2
name__,runNum__,scale__,time__
Shared/VSolve,24,10,7.042997e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,24,10,4.975699e-3
name__,runNum__,scale__,time__
Shared/BForce,25,10,5.17755e-3
name__,runNum__,scale__,time__
Shared/VSolve,25,10,4.823736e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,25,10,5.558498e-3
name__,runNum__,scale__,time__
Shared/BForce,26,10,6.938084e-3
name__,runNum__,scale__,time__
Shared/VSolve,26,10,5.774933e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,26,10,5.510232e-3
name__,runNum__,scale__,time__
Shared/BForce,27,10,1.55235e-3
name__,runNum__,scale__,time__
Shared/VSolve,27,10,1.222358e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,27,10,1.371313e-3
name__,runNum__,scale__,time__
Shared/BForce,28,10,3.996256e-3
name__,runNum__,scale__,time__
Shared/VSolve,28,10,2.703937e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,28,10,2.708995e-3
name__,runNum__,scale__,time__
Shared/BForce,29,10,1.0337603e-2
name__,runNum__,scale__,time__
Shared/VSolve,29,10,5.902167e-3
name__,runNum__,scale__,time__
