name__,runNum__,scale__,time__
Shared/BForce,1,10,5.91382e-3
name__,runNum__,scale__,time__
Shared/VSolve,1,10,4.370292e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,1,10,4.17437e-3
name__,runNum__,scale__,time__
Shared/BForce,2,10,1.381923e-3
name__,runNum__,scale__,time__
Shared/VSolve,2,10,1.237571e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,2,10,1.445193e-3
name__,runNum__,scale__,time__
Shared/BForce,3,10,2.172306e-3
name__,runNum__,scale__,time__
Shared/VSolve,3,10,1.647315e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,3,10,2.094545e-3
name__,runNum__,scale__,time__
Shared/BForce,4,10,8.52945e-3
name__,runNum__,scale__,time__
Shared/VSolve,4,10,6.455546e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,4,10,5.397872e-3
name__,runNum__,scale__,time__
Shared/BForce,5,10,6.233111e-3
name__,runNum__,scale__,time__
Shared/VSolve,5,10,4.757183e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,5,10,4.544864e-3
name__,runNum__,scale__,time__
Shared/BForce,6,10,1.934858e-3
name__,runNum__,scale__,time__
Shared/VSolve,6,10,1.895589e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,6,10,1.794602e-3
name__,runNum__,scale__,time__
Shared/BForce,7,10,3.165664e-3
name__,runNum__,scale__,time__
Shared/VSolve,7,10,3.31874e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,7,10,3.216867e-3
name__,runNum__,scale__,time__
Shared/BForce,8,10,4.648209e-3
name__,runNum__,scale__,time__
Shared/VSolve,8,10,3.548934e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,8,10,3.734814e-3
name__,runNum__,scale__,time__
Shared/BForce,9,10,3.4950085e-2
name__,runNum__,scale__,time__
Shared/VSolve,9,10,7.890118e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,9,10,4.805112e-3
name__,runNum__,scale__,time__
Shared/BForce,10,10,8.9251e-3
name__,runNum__,scale__,time__
Shared/VSolve,10,10,5.055301e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,10,10,3.246293e-3
name__,runNum__,scale__,time__
Shared/BForce,11,10,4.1418185e-2
name__,runNum__,scale__,time__
Shared/VSolve,11,10,1.0332085e-2
name__,runNum__,scale__,time__
Shared/ChcDecomp,11,10,5.458927e-3
name__,runNum__,scale__,time__
Shared/BForce,12,10,5.339238e-3
name__,runNum__,scale__,time__
Shared/VSolve,12,10,4.620722e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,12,10,4.426317e-3
name__,runNum__,scale__,time__
Shared/BForce,13,10,2.391919e-3
name__,runNum__,scale__,time__
Shared/VSolve,13,10,3.23227e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,13,10,2.318808e-3
name__,runNum__,scale__,time__
Shared/BForce,14,10,6.631331e-3
name__,runNum__,scale__,time__
Shared/VSolve,14,10,3.666544e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,14,10,4.302781e-3
name__,runNum__,scale__,time__
Shared/BForce,15,10,1.756734e-3
name__,runNum__,scale__,time__
Shared/VSolve,15,10,1.704621e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,15,10,1.927658e-3
name__,runNum__,scale__,time__
