name__,runNum__,scale__,time__
Shared/BForce,1,10,2.590542e-3
name__,runNum__,scale__,time__
Unique/BForce,1,10,1.661085e-3
name__,runNum__,scale__,time__
Shared/VSolve,1,10,1.56655e-3
name__,runNum__,scale__,time__
Unique/VSolve,1,10,1.259651e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,1,10,1.887986e-3
name__,runNum__,scale__,time__
Unique/ChcDecomp,1,10,1.448244e-3
name__,runNum__,scale__,time__
Shared/BForce,2,10,3.070203e-3
name__,runNum__,scale__,time__
Unique/BForce,2,10,4.0495327e-2
name__,runNum__,scale__,time__
Shared/VSolve,2,10,2.869935e-3
name__,runNum__,scale__,time__
Unique/VSolve,2,10,8.622189e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,2,10,3.170661e-3
name__,runNum__,scale__,time__
Unique/ChcDecomp,2,10,4.899369e-3
name__,runNum__,scale__,time__
Shared/BForce,3,10,1.638043e-3
name__,runNum__,scale__,time__
Unique/BForce,3,10,8.493859e-3
name__,runNum__,scale__,time__
Shared/VSolve,3,10,1.710679e-3
name__,runNum__,scale__,time__
Unique/VSolve,3,10,6.852363e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,3,10,1.688907e-3
name__,runNum__,scale__,time__
Unique/ChcDecomp,3,10,4.517892e-3
name__,runNum__,scale__,time__
Shared/BForce,4,10,3.497553e-3
name__,runNum__,scale__,time__
Unique/BForce,4,10,2.5529145e-2
name__,runNum__,scale__,time__
Shared/VSolve,4,10,3.18148e-3
name__,runNum__,scale__,time__
Unique/VSolve,4,10,7.897888e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,4,10,3.339616e-3
name__,runNum__,scale__,time__
Unique/ChcDecomp,4,10,4.756191e-3
name__,runNum__,scale__,time__
Shared/BForce,5,10,1.0015491e-2
name__,runNum__,scale__,time__
Unique/BForce,5,10,0.113091184
name__,runNum__,scale__,time__
Shared/VSolve,5,10,5.223274e-3
name__,runNum__,scale__,time__
Unique/VSolve,5,10,1.3381175e-2
name__,runNum__,scale__,time__
Shared/ChcDecomp,5,10,4.943702e-3
name__,runNum__,scale__,time__
Unique/ChcDecomp,5,10,5.882691e-3
name__,runNum__,scale__,time__
Shared/BForce,6,10,1.913671e-3
name__,runNum__,scale__,time__
Unique/BForce,6,10,3.963547e-3
name__,runNum__,scale__,time__
Shared/VSolve,6,10,1.697046e-3
name__,runNum__,scale__,time__
Unique/VSolve,6,10,3.055599e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,6,10,1.846297e-3
name__,runNum__,scale__,time__
Unique/ChcDecomp,6,10,2.58483e-3
name__,runNum__,scale__,time__
Shared/BForce,7,10,2.539779e-3
name__,runNum__,scale__,time__
Unique/BForce,7,10,7.11866e-3
name__,runNum__,scale__,time__
Shared/VSolve,7,10,1.260824e-3
name__,runNum__,scale__,time__
Unique/VSolve,7,10,4.074974e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,7,10,1.47715e-3
name__,runNum__,scale__,time__
Unique/ChcDecomp,7,10,3.003885e-3
name__,runNum__,scale__,time__
Shared/BForce,8,10,3.068889e-3
name__,runNum__,scale__,time__
Unique/BForce,8,10,1.569096e-3
name__,runNum__,scale__,time__
Shared/VSolve,8,10,2.992609e-3
name__,runNum__,scale__,time__
Unique/VSolve,8,10,1.324506e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,8,10,3.014886e-3
name__,runNum__,scale__,time__
Unique/ChcDecomp,8,10,1.533742e-3
name__,runNum__,scale__,time__
Shared/BForce,9,10,3.919961e-3
name__,runNum__,scale__,time__
Unique/BForce,9,10,4.36567e-3
name__,runNum__,scale__,time__
Shared/VSolve,9,10,3.419425e-3
name__,runNum__,scale__,time__
Unique/VSolve,9,10,2.938579e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,9,10,2.941087e-3
name__,runNum__,scale__,time__
Unique/ChcDecomp,9,10,4.205199e-3
name__,runNum__,scale__,time__
Shared/BForce,10,10,3.199671e-3
name__,runNum__,scale__,time__
Unique/BForce,10,10,3.500701e-3
name__,runNum__,scale__,time__
Shared/VSolve,10,10,3.116667e-3
name__,runNum__,scale__,time__
Unique/VSolve,10,10,2.613382e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,10,10,3.071075e-3
name__,runNum__,scale__,time__
Unique/ChcDecomp,10,10,2.359399e-3
name__,runNum__,scale__,time__
Shared/BForce,11,10,4.230896e-3
name__,runNum__,scale__,time__
Unique/BForce,11,10,1.0033026e-2
name__,runNum__,scale__,time__
Shared/VSolve,11,10,4.343597e-3
name__,runNum__,scale__,time__
Unique/VSolve,11,10,5.550226e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,11,10,4.059028e-3
name__,runNum__,scale__,time__
Unique/ChcDecomp,11,10,5.899077e-3
name__,runNum__,scale__,time__
Shared/BForce,12,10,1.617384e-3
name__,runNum__,scale__,time__
Unique/BForce,12,10,1.454378e-3
name__,runNum__,scale__,time__
Shared/VSolve,12,10,1.435334e-3
name__,runNum__,scale__,time__
Unique/VSolve,12,10,1.290232e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,12,10,1.468097e-3
name__,runNum__,scale__,time__
Unique/ChcDecomp,12,10,1.514459e-3
name__,runNum__,scale__,time__
Shared/BForce,13,10,2.137975e-3
name__,runNum__,scale__,time__
Unique/BForce,13,10,3.386005e-3
name__,runNum__,scale__,time__
Shared/VSolve,13,10,1.641692e-3
name__,runNum__,scale__,time__
Unique/VSolve,13,10,2.244672e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,13,10,1.923977e-3
name__,runNum__,scale__,time__
Unique/ChcDecomp,13,10,3.975332e-3
name__,runNum__,scale__,time__
Shared/BForce,14,10,1.483855e-3
name__,runNum__,scale__,time__
Unique/BForce,14,10,2.3467151e-2
name__,runNum__,scale__,time__
Shared/VSolve,14,10,1.33995e-3
name__,runNum__,scale__,time__
Unique/VSolve,14,10,6.736947e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,14,10,1.477176e-3
name__,runNum__,scale__,time__
Unique/ChcDecomp,14,10,4.260337e-3
name__,runNum__,scale__,time__
Shared/BForce,15,10,1.434111e-3
name__,runNum__,scale__,time__
Unique/BForce,15,10,1.568576e-3
name__,runNum__,scale__,time__
Shared/VSolve,15,10,1.270452e-3
name__,runNum__,scale__,time__
Unique/VSolve,15,10,1.46404e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,15,10,1.332745e-3
name__,runNum__,scale__,time__
Unique/ChcDecomp,15,10,1.51675e-3
name__,runNum__,scale__,time__
Shared/BForce,16,10,1.6623302e-2
name__,runNum__,scale__,time__
Unique/BForce,16,10,3.0165085e-2
name__,runNum__,scale__,time__
Shared/VSolve,16,10,5.921971e-3
name__,runNum__,scale__,time__
Unique/VSolve,16,10,1.0068303e-2
name__,runNum__,scale__,time__
Shared/ChcDecomp,16,10,4.674696e-3
name__,runNum__,scale__,time__
Unique/ChcDecomp,16,10,4.785972e-3
name__,runNum__,scale__,time__
Shared/BForce,17,10,4.318802e-3
name__,runNum__,scale__,time__
Unique/BForce,17,10,1.477773e-3
name__,runNum__,scale__,time__
Shared/VSolve,17,10,4.170778e-3
name__,runNum__,scale__,time__
Unique/VSolve,17,10,2.043198e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,17,10,4.26539e-3
name__,runNum__,scale__,time__
Unique/ChcDecomp,17,10,1.497116e-3
name__,runNum__,scale__,time__
Shared/BForce,18,10,1.556357e-3
name__,runNum__,scale__,time__
Unique/BForce,18,10,1.40502e-3
name__,runNum__,scale__,time__
Shared/VSolve,18,10,1.334235e-3
name__,runNum__,scale__,time__
Unique/VSolve,18,10,1.287153e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,18,10,1.440453e-3
name__,runNum__,scale__,time__
Unique/ChcDecomp,18,10,1.447592e-3
name__,runNum__,scale__,time__
Shared/BForce,19,10,2.422294e-3
name__,runNum__,scale__,time__
Unique/BForce,19,10,3.7091298e-2
name__,runNum__,scale__,time__
Shared/VSolve,19,10,3.044316e-3
name__,runNum__,scale__,time__
Unique/VSolve,19,10,9.612131e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,19,10,2.26894e-3
name__,runNum__,scale__,time__
Unique/ChcDecomp,19,10,5.231928e-3
name__,runNum__,scale__,time__
Shared/BForce,20,10,3.234379e-3
name__,runNum__,scale__,time__
Unique/BForce,20,10,3.504192e-3
name__,runNum__,scale__,time__
Shared/VSolve,20,10,2.969437e-3
name__,runNum__,scale__,time__
Unique/VSolve,20,10,2.315042e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,20,10,3.942126e-3
name__,runNum__,scale__,time__
Unique/ChcDecomp,20,10,3.234104e-3
name__,runNum__,scale__,time__
Shared/BForce,21,10,1.6074609e-2
name__,runNum__,scale__,time__
Unique/BForce,21,10,6.443507e-3
name__,runNum__,scale__,time__
Shared/VSolve,21,10,5.742337e-3
name__,runNum__,scale__,time__
Unique/VSolve,21,10,5.913344e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,21,10,3.979759e-3
name__,runNum__,scale__,time__
Unique/ChcDecomp,21,10,6.09518e-3
name__,runNum__,scale__,time__
Shared/BForce,22,10,1.552838e-3
name__,runNum__,scale__,time__
Unique/BForce,22,10,2.8649622e-2
name__,runNum__,scale__,time__
Shared/VSolve,22,10,1.423226e-3
name__,runNum__,scale__,time__
Unique/VSolve,22,10,8.641815e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,22,10,1.653559e-3
name__,runNum__,scale__,time__
Unique/ChcDecomp,22,10,6.276396e-3
name__,runNum__,scale__,time__
Shared/BForce,23,10,1.0243407e-2
name__,runNum__,scale__,time__
Unique/BForce,23,10,4.053485e-3
name__,runNum__,scale__,time__
Shared/VSolve,23,10,5.089287e-3
name__,runNum__,scale__,time__
Unique/VSolve,23,10,3.035182e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,23,10,3.927156e-3
name__,runNum__,scale__,time__
Unique/ChcDecomp,23,10,4.918049e-3
name__,runNum__,scale__,time__
Shared/BForce,24,10,3.220474e-2
name__,runNum__,scale__,time__
Unique/BForce,24,10,3.6706557e-2
name__,runNum__,scale__,time__
Shared/VSolve,24,10,7.195416e-3
name__,runNum__,scale__,time__
Unique/VSolve,24,10,9.857308e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,24,10,6.529781e-3
name__,runNum__,scale__,time__
Unique/ChcDecomp,24,10,6.088901e-3
name__,runNum__,scale__,time__
Shared/BForce,25,10,1.652401e-3
name__,runNum__,scale__,time__
Unique/BForce,25,10,1.345419e-3
name__,runNum__,scale__,time__
Shared/VSolve,25,10,1.393898e-3
name__,runNum__,scale__,time__
Unique/VSolve,25,10,1.288776e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,25,10,1.466267e-3
name__,runNum__,scale__,time__
Unique/ChcDecomp,25,10,1.512607e-3
name__,runNum__,scale__,time__
Shared/BForce,26,10,8.228429e-3
name__,runNum__,scale__,time__
Unique/BForce,26,10,6.429237e-3
name__,runNum__,scale__,time__
Shared/VSolve,26,10,4.875979e-3
name__,runNum__,scale__,time__
Unique/VSolve,26,10,3.099278e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,26,10,4.201643e-3
name__,runNum__,scale__,time__
Unique/ChcDecomp,26,10,3.417105e-3
name__,runNum__,scale__,time__
Shared/BForce,27,10,4.678313e-3
name__,runNum__,scale__,time__
Unique/BForce,27,10,6.562572e-3
name__,runNum__,scale__,time__
Shared/VSolve,27,10,3.61409e-3
name__,runNum__,scale__,time__
Unique/VSolve,27,10,4.211476e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,27,10,4.740978e-3
name__,runNum__,scale__,time__
Unique/ChcDecomp,27,10,2.858298e-3
name__,runNum__,scale__,time__
Shared/BForce,28,10,1.533422e-3
name__,runNum__,scale__,time__
Unique/BForce,28,10,1.537674e-3
name__,runNum__,scale__,time__
Shared/VSolve,28,10,1.398985e-3
name__,runNum__,scale__,time__
Unique/VSolve,28,10,1.378612e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,28,10,1.413416e-3
name__,runNum__,scale__,time__
Unique/ChcDecomp,28,10,1.575731e-3
name__,runNum__,scale__,time__
Shared/BForce,29,10,4.574635e-3
name__,runNum__,scale__,time__
Unique/BForce,29,10,6.560871e-3
name__,runNum__,scale__,time__
Shared/VSolve,29,10,4.254304e-3
name__,runNum__,scale__,time__
Unique/VSolve,29,10,6.771607e-3
name__,runNum__,scale__,time__
