name__,runNum__,scale__,time__
Shared/VSolve,1,10,6.625446e-3
name__,runNum__,scale__,time__
Unique/VSolve,1,10,2.417295e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,1,10,3.736336e-3
name__,runNum__,scale__,time__
Unique/ChcDecomp,1,10,2.004454e-3
name__,runNum__,scale__,time__
Shared/VSolve,2,10,2.194411e-3
name__,runNum__,scale__,time__
Unique/VSolve,2,10,6.790368e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,2,10,2.218867e-3
name__,runNum__,scale__,time__
Unique/ChcDecomp,2,10,5.731373e-3
name__,runNum__,scale__,time__
Shared/VSolve,3,10,7.382515e-3
name__,runNum__,scale__,time__
Unique/VSolve,3,10,1.7066852e-2
name__,runNum__,scale__,time__
Shared/ChcDecomp,3,10,6.402453e-3
name__,runNum__,scale__,time__
Unique/ChcDecomp,3,10,7.054248e-3
name__,runNum__,scale__,time__
Shared/VSolve,4,10,3.96875e-3
name__,runNum__,scale__,time__
Unique/VSolve,4,10,4.96792e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,4,10,3.637445e-3
name__,runNum__,scale__,time__
Unique/ChcDecomp,4,10,5.521015e-3
name__,runNum__,scale__,time__
Shared/VSolve,5,10,4.67368e-3
name__,runNum__,scale__,time__
Unique/VSolve,5,10,2.821326e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,5,10,3.656727e-3
name__,runNum__,scale__,time__
Unique/ChcDecomp,5,10,2.587662e-3
name__,runNum__,scale__,time__
Shared/VSolve,6,10,2.220929e-3
name__,runNum__,scale__,time__
Unique/VSolve,6,10,4.377271e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,6,10,3.757665e-3
name__,runNum__,scale__,time__
Unique/ChcDecomp,6,10,3.33867e-3
name__,runNum__,scale__,time__
Shared/VSolve,7,10,2.746645e-3
name__,runNum__,scale__,time__
Unique/VSolve,7,10,4.092671e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,7,10,2.474938e-3
name__,runNum__,scale__,time__
Unique/ChcDecomp,7,10,4.230344e-3
name__,runNum__,scale__,time__
Shared/VSolve,8,10,9.530678e-3
name__,runNum__,scale__,time__
Unique/VSolve,8,10,2.994586e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,8,10,5.839354e-3
name__,runNum__,scale__,time__
Unique/ChcDecomp,8,10,3.300395e-3
name__,runNum__,scale__,time__
Shared/VSolve,9,10,3.205112e-3
name__,runNum__,scale__,time__
Unique/VSolve,9,10,1.350367e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,9,10,3.070482e-3
name__,runNum__,scale__,time__
Unique/ChcDecomp,9,10,1.44783e-3
name__,runNum__,scale__,time__
Shared/VSolve,10,10,6.228165e-3
name__,runNum__,scale__,time__
Unique/VSolve,10,10,4.908135e-3
name__,runNum__,scale__,time__
Shared/ChcDecomp,10,10,4.693533e-3
