name__,runNum__,scale__,time__
Shared/VSolve,1,10,3.6421386e-2
name__,runNum__,scale__,time__
Shared/ChcDecomp,1,10,2.3633621e-2
name__,runNum__,scale__,time__
Shared/VSolve,2,10,2.5799096e-2
name__,runNum__,scale__,time__
Shared/ChcDecomp,2,10,1.9284346e-2
name__,runNum__,scale__,time__
Shared/VSolve,3,10,1.3692449e-2
name__,runNum__,scale__,time__
Shared/ChcDecomp,3,10,1.1729987e-2
name__,runNum__,scale__,time__
Shared/VSolve,4,10,2.2562007e-2
name__,runNum__,scale__,time__
Shared/ChcDecomp,4,10,1.415608e-2
name__,runNum__,scale__,time__
Shared/VSolve,5,10,2.8404025e-2
name__,runNum__,scale__,time__
Shared/ChcDecomp,5,10,1.5507895e-2
name__,runNum__,scale__,time__
Shared/VSolve,6,10,2.5664466e-2
name__,runNum__,scale__,time__
Shared/ChcDecomp,6,10,1.8285105e-2
name__,runNum__,scale__,time__
Shared/VSolve,7,10,3.2627485e-2
name__,runNum__,scale__,time__
Shared/ChcDecomp,7,10,2.4538678e-2
name__,runNum__,scale__,time__
Shared/VSolve,8,10,2.7927126e-2
name__,runNum__,scale__,time__
Shared/ChcDecomp,8,10,1.9749018e-2
name__,runNum__,scale__,time__
Shared/VSolve,9,10,1.5092496e-2
name__,runNum__,scale__,time__
Shared/ChcDecomp,9,10,1.2806065e-2
name__,runNum__,scale__,time__
Shared/VSolve,10,10,2.5038582e-2
name__,runNum__,scale__,time__
Shared/ChcDecomp,10,10,1.3967079e-2
name__,runNum__,scale__,time__
Shared/VSolve,11,10,2.9819827e-2
name__,runNum__,scale__,time__
Shared/ChcDecomp,11,10,1.6142408e-2
name__,runNum__,scale__,time__
Shared/VSolve,12,10,3.1768313e-2
name__,runNum__,scale__,time__
Shared/ChcDecomp,12,10,1.7525784e-2
name__,runNum__,scale__,time__
Shared/VSolve,13,10,1.2260078e-2
name__,runNum__,scale__,time__
Shared/ChcDecomp,13,10,1.407306e-2
name__,runNum__,scale__,time__
