name__,runNum__,scale__,time__
defConf/Shared/BForce,1,2,6.169883e-2
emptyConf/Shared/BForce,1,2,2.725091e-3
allOpts/Shared/BForce,1,2,6.2658739e-2
defConf/Unique/BForce,1,2,5.3538e-4
emptyConf/Unique/BForce,1,2,5.52969e-4
allOpts/Unique/BForce,1,2,1.506112e-3
defConf/Shared/VSMTSolve,1,2,7.5152448e-2
emptyConf/Shared/VSMTSolve,1,2,0.144254309
allOpts/Shared/VSMTSolve,1,2,0.418983111
defConf/Unique/VSMTSolve,1,2,0.119096882
emptyConf/Unique/VSMTSolve,1,2,4.89918e-4
allOpts/Unique/VSMTSolve,1,2,1.38134e-3
defConf/Shared/ChcDecomp,1,2,0.179255738
emptyConf/Shared/ChcDecomp,1,2,1.292272e-3
allOpts/Shared/ChcDecomp,1,2,4.4159161e-2
defConf/Unique/ChcDecomp,1,2,5.52876e-4
emptyConf/Unique/ChcDecomp,1,2,5.40403e-4
allOpts/Unique/ChcDecomp,1,2,1.443664e-3
