Config,Variants,Satisfiable
V1*V2,4,Sat
V1*V2,4,Sat
V1*V2,4,Sat
V1*V2,4,UnSat
V1*V2*V3,8,Sat
V1*V2*V3,8,Sat
V1*V2*V3,8,Sat
V1*V2*V3,8,Sat
V1*V2*V3,8,UnSat
V1*V2*V3,8,UnSat
V1*V2*V3,8,UnSat
V1*V2*V3,8,UnSat
V1*V2*V3*V4,16,Sat
V1*V2*V3*V4,16,Sat
V1*V2*V3*V4,16,Sat
V1*V2*V3*V4,16,Sat
V1*V2*V3*V4,16,Sat
V1*V2*V3*V4,16,Sat
V1*V2*V3*V4,16,Sat
V1*V2*V3*V4,16,Sat
V1*V2*V3*V4,16,UnSat
V1*V2*V3*V4,16,UnSat
V1*V2*V3*V4,16,UnSat
V1*V2*V3*V4,16,UnSat
V1*V2*V3*V4,16,UnSat
V1*V2*V3*V4,16,UnSat
V1*V2*V3*V4,16,UnSat
V1*V2*V3*V4,16,UnSat
