name,iters,time,cycles,cpuTime,utime,stime,maxrss,minflt,majflt,nvcsw,nivcsw,allocated,numGcs,bytesCopied,mutatorWallSeconds,mutatorCpuSeconds,gcWallSeconds,gcCpuSeconds,DataSet,Algorithm,Config,ChcCount,PlainCount,CompressionRatio,VCoreSize,VCorePlain,VCoreVar,Variants
Z3/v-->v/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,1,54.877505085,131387218160,34.620550242,23.111564,11.509031,3929156,1337982,0,1110274,30,,,,,,,,Z3,v-->v,V1,0,479622,0,1,1,0,1
Z3/v-->v/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,2,108.454418888,259660541692,69.612281029,46.814325,22.798013,4179900,2164804,0,2220147,117,,,,,,,,Z3,v-->v,V1,0,479622,0,1,1,0,1
Z3/v-->v/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,3,156.260740504,374117872546,99.452225409,67.221424,32.230854,4180376,3460539,0,3316999,75,,,,,,,,Z3,v-->v,V1,0,479622,0,1,1,0,1
Z3/v-->v/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,4,202.258590812,484245503982,128.097149378,87.984383,40.112823,4180436,3416125,0,4424702,78,,,,,,,,Z3,v-->v,V1,0,479622,0,1,1,0,1
Z3/v-->v/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,5,249.811918414,598097138970,157.70780793,109.601396,48.106464,4181584,3425862,0,5532894,110,,,,,,,,Z3,v-->v,V1,0,479622,0,1,1,0,1
Z3/v-->v/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,6,306.501222628,733822163082,192.109699926,131.890279,60.219489,4181632,4894762,0,6648306,112,,,,,,,,Z3,v-->v,V1,0,479622,0,1,1,0,1
Z3/v-->v/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,7,356.129706808,852642279490,226.037511748,156.597921,69.43966,4181640,5738463,0,7757659,157,,,,,,,,Z3,v-->v,V1,0,479622,0,1,1,0,1
Z3/v-->v/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,8,408.439745572,977882445332,259.56908252,178.969421,80.599711,4181672,7522854,0,8863640,154,,,,,,,,Z3,v-->v,V1,0,479622,0,1,1,0,1
Z3/v-->v/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,9,458.669773272,1098143018978,288.357583528,200.109366,88.248272,4181968,7394399,0,9975054,145,,,,,,,,Z3,v-->v,V1,0,479622,0,1,1,0,1
Z3/v-->v/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,10,521.989315931,1249741373544,329.278325919,228.801848,100.476534,4182100,7371597,0,11078698,371,,,,,,,,Z3,v-->v,V1,0,479622,0,1,1,0,1
Z3/v-->v/V2/Chc/0/numPlain/687613/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,1,64.920992448,155433254662,43.701009438,29.613414,14.087652,4306120,1381133,0,1523382,18,,,,,,,,Z3,v-->v,V2,0,687613,0,1,1,0,1
Z3/v-->v/V2/Chc/0/numPlain/687613/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,2,129.197719118,309323981824,84.770270159,58.782758,25.987571,4584204,1517715,0,3047077,100,,,,,,,,Z3,v-->v,V2,0,687613,0,1,1,0,1
Z3/v-->v/V2/Chc/0/numPlain/687613/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,3,194.826077811,466450717734,127.798997982,88.580619,39.218432,4585032,2289621,0,4569927,75,,,,,,,,Z3,v-->v,V2,0,687613,0,1,1,0,1
