Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB,DataSet,Algorithm,Config,ChcCount,PlainCount,CompressionRatio,VCoreSize,VCorePlain,VCoreVar,Variants
Z3/v-->v/V1*V2/Chc/1322/numPlain/3143/Compression/0.43001393608958216/VCore_Total/2309/VCorePlain/996/VCoreVar/1313/Variants/4,0.5666437373123093,0.5597723911268986,0.5718909623780444,0.006988644801807574,0.0027647630680197044,0.00953058384125068,Z3,v-->v,V1*V2,1322,3143,0.43001393608958216,2309,996,1313,4
Z3/v-->v/V2*V3/Chc/842/numPlain/3639/Compression/0.4203214779256673/VCore_Total/2324/VCorePlain/1507/VCoreVar/817/Variants/4,0.4791404509766532,0.4735033688120893,0.48430019489993964,0.00609312952284858,0.0053410403132985425,0.0066091630394839425,Z3,v-->v,V2*V3,842,3639,0.4203214779256673,2324,1507,817,4
Z3/v-->v/V3*V4/Chc/156/numPlain/4305/Compression/0.3509300942835301/VCore_Total/2312/VCorePlain/2161/VCoreVar/151/Variants/4,0.22109913266128087,0.21747011050853568,0.22571212071860727,0.00554849356750541,0.0033081818341928063,0.008355415484837104,Z3,v-->v,V3*V4,156,4305,0.3509300942835301,2312,2161,151,4
Z3/v-->v/V4*V5/Chc/759/numPlain/3773/Compression/0.4302100275793791/VCore_Total/2380/VCorePlain/1697/VCoreVar/683/Variants/4,0.4478329861134019,0.44181507723017904,0.45239896774000954,0.006239052555744326,0.003318617729710971,0.008608191492230185,Z3,v-->v,V4*V5,759,3773,0.4302100275793791,2380,1697,683,4
Z3/v-->v/V5*V6/Chc/1349/numPlain/3224/Compression/0.4665144596651446/VCore_Total/2812/VCorePlain/1580/VCoreVar/1232/Variants/4,0.6396031106366232,0.6326560040082161,0.6465502172650304,0.008951357936729961,0.003871432598239281,0.01199262306095047,Z3,v-->v,V5*V6,1349,3224,0.4665144596651446,2812,1580,1232,4
Z3/v-->v/V6*V7/Chc/1089/numPlain/3603/Compression/0.44600223651104276/VCore_Total/2925/VCorePlain/2072/VCoreVar/853/Variants/4,0.4929937729393714,0.4869260005070828,0.4962850496885949,0.005785324470699417,0.0015209927587597188,0.007600878068566909,Z3,v-->v,V6*V7,1089,3603,0.44600223651104276,2925,2072,853,4
Z3/v-->v/V7*V8/Chc/806/numPlain/3734/Compression/0.40540540540540543/VCore_Total/3182/VCorePlain/2460/VCoreVar/722/Variants/4,0.3582360271999884,0.3547225232565931,0.362091981463891,0.004359707093437778,0.0017958603712031618,0.0060404088525901805,Z3,v-->v,V7*V8,806,3734,0.40540540540540543,3182,2460,722,4
Z3/v-->v/V8*V9/Chc/504/numPlain/4027/Compression/0.39012297859978695/VCore_Total/3207/VCorePlain/2778/VCoreVar/429/Variants/4,0.31837798448318305,0.314922638470307,0.3203085385402665,0.003435582383862357,0.0026427852199720804,0.0039060390719305167,Z3,v-->v,V8*V9,504,4027,0.39012297859978695,3207,2778,429,4
Z3/v-->v/V9*V10/Chc/176/numPlain/4302/Compression/0.33403545359749737/VCore_Total/3156/VCorePlain/3002/VCoreVar/154/Variants/4,0.23423698813971391,0.23169188335046378,0.23591894180410436,0.002696445271671087,0.0020277849039366915,0.003154123837547269,Z3,v-->v,V9*V10,176,4302,0.33403545359749737,3156,3002,154,4
Z3/v-->p/V1*V2/Chc/1322/numPlain/3143/Compression/0.43001393608958216/VCore_Total/2309/VCorePlain/996/VCoreVar/1313/Variants/4,0.6078743858427819,0.5910068869028086,0.6212897611112567,0.01888059218304817,0.007166921840204565,0.026070316937246218,Z3,v-->p,V1*V2,1322,3143,0.43001393608958216,2309,996,1313,4
Z3/v-->p/V2*V3/Chc/842/numPlain/3639/Compression/0.4203214779256673/VCore_Total/2324/VCorePlain/1507/VCoreVar/817/Variants/4,0.49108186572266277,0.48337371420348063,0.4987900172418449,0.009010620911096702,0.0075397888144952095,0.009957866621111491,Z3,v-->p,V2*V3,842,3639,0.4203214779256673,2324,1507,817,4
