Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB,DataSet,Algorithm,Config,ChcCount,PlainCount,CompressionRatio,VCoreSize,VCorePlain,VCoreVar,Variants
Z3/v-->v/V1/Chc/0/numPlain/7803/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,1.0102931920438492,0.9604994627271429,1.0646927690855557,0.08709942187726022,0.06328169675787639,0.13337868434398292,Z3,v-->v,V1,0,7803,0,1,1,0,1
Z3/v-->v/V2/Chc/0/numPlain/9953/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,1.1692935777149605,1.1197638911571428,1.217767333706349,0.08028991376086411,0.06158493069584598,0.11257728613943538,Z3,v-->v,V2,0,9953,0,1,1,0,1
Z3/v-->v/V3/Chc/0/numPlain/5070/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,0.8133790455502382,0.7811425753602381,0.8538635141033334,0.06333770214593863,0.04391354515837169,0.08827929099238749,Z3,v-->v,V3,0,5070,0,1,1,0,1
Z3/v-->v/V4/Chc/0/numPlain/5398/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,0.8005922526600793,0.767902526470635,0.8477962112205555,0.06292371391862359,0.032927123230544794,0.09741776473312075,Z3,v-->v,V4,0,5398,0,1,1,0,1
Z3/v-->v/V5/Chc/0/numPlain/9525/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,1.0908599202085714,1.030411666375,1.1650859943983334,0.11393702734867178,0.07104788919749261,0.17078017490215547,Z3,v-->v,V5,0,9525,0,1,1,0,1
Z3/v-->v/V6/Chc/0/numPlain/9418/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,1.1049647424969444,1.0715936765758332,1.1597405597444443,0.07055343982398216,0.05003479511271734,0.10270319815942595,Z3,v-->v,V6,0,9418,0,1,1,0,1
Z3/v-->v/V7/Chc/0/numPlain/5872/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,0.8459241004642063,0.8130979744161906,0.8873453329130954,0.0633247484957636,0.041518939455198904,0.09126366577726862,Z3,v-->v,V7,0,5872,0,1,1,0,1
Z3/v-->v/V8/Chc/0/numPlain/5983/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,0.8342399041874206,0.8005342500764285,0.8646236009908334,0.054069381645940474,0.04184589656861821,0.08256234420073719,Z3,v-->v,V8,0,5983,0,1,1,0,1
Z3/v-->v/V9/Chc/0/numPlain/5589/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,0.774844039395119,0.7379280202334524,0.8284025993559524,0.0811356626019761,0.06071179158860841,0.11140256196029422,Z3,v-->v,V9,0,5589,0,1,1,0,1
Z3/v-->v/V10/Chc/0/numPlain/5152/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,0.6922684877820635,0.6630208262720635,0.7280279218188889,0.056130841882914326,0.039462434065628806,0.07778228997892582,Z3,v-->v,V10,0,5152,0,1,1,0,1
Z3/p-->v/V1/Chc/0/numPlain/7803/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,0.4623587049887302,0.4403930574635714,0.4927138753337301,0.04501812268500644,0.026814394616446923,0.06971105786831625,Z3,p-->v,V1,0,7803,0,1,1,0,1
Z3/p-->v/V2/Chc/0/numPlain/9953/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,0.5763033267907937,0.5460862611146825,0.6040623285163492,0.05041636166783826,0.036271556418663184,0.07070299778507867,Z3,p-->v,V2,0,9953,0,1,1,0,1
Z3/p-->v/V3/Chc/0/numPlain/5070/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,0.27657518881194443,0.2565157258319445,0.3011050929044444,0.03573035370809341,0.02256529321907235,0.05428874603581975,Z3,p-->v,V3,0,5070,0,1,1,0,1
Z3/p-->v/V4/Chc/0/numPlain/5398/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,0.2951393432063492,0.27742422821190477,0.30597665632222226,0.02316411081266758,0.012686045099699575,0.03534360291186463,Z3,p-->v,V4,0,5398,0,1,1,0,1
Z3/p-->v/V5/Chc/0/numPlain/9525/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,0.6991044037589286,0.6725901350708333,0.7256416992005953,0.048800279647946976,0.038279392597307865,0.06326913886623449,Z3,p-->v,V5,0,9525,0,1,1,0,1
Z3/p-->v/V6/Chc/0/numPlain/9418/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,0.6093786563291269,0.5799477882638888,0.6417056306885713,0.055677015550804544,0.044364266015675884,0.0678618087487381,Z3,p-->v,V6,0,9418,0,1,1,0,1
Z3/p-->v/V7/Chc/0/numPlain/5872/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,0.38794051147888886,0.3609679189388889,0.4087743997433334,0.0407139886285415,0.02973416335944219,0.058709803704684524,Z3,p-->v,V7,0,5872,0,1,1,0,1
Z3/p-->v/V8/Chc/0/numPlain/5983/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,0.38338578427765874,0.3604523250304762,0.43301505257694445,0.052706439356877965,0.03239170711148828,0.07490659051998401,Z3,p-->v,V8,0,5983,0,1,1,0,1
Z3/p-->v/V9/Chc/0/numPlain/5589/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,0.28722452615420635,0.2649789854733333,0.3106696367395238,0.03721609996979842,0.0253456084009623,0.052060058707112514,Z3,p-->v,V9,0,5589,0,1,1,0,1
Z3/p-->v/V10/Chc/0/numPlain/5152/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,0.25693636274051584,0.2404080324752381,0.2707957786001984,0.026505857673947475,0.01977726629942423,0.034169799058703654,Z3,p-->v,V10,0,5152,0,1,1,0,1
