name,iters,time,cycles,cpuTime,utime,stime,maxrss,minflt,majflt,nvcsw,nivcsw,allocated,numGcs,bytesCopied,mutatorWallSeconds,mutatorCpuSeconds,gcWallSeconds,gcCpuSeconds,DataSet,Algorithm,Config,ChcCount,PlainCount,CompressionRatio,VCoreSize,VCorePlain,VCoreVar,Variants
Z3/v-->v/V1/Chc/0/numPlain/7803/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,1,0.810051574,1939445716,0.694544045,0.401887,0.292691,1086136,731,0,30423,2,,,,,,,,Z3,v-->v,V1,0,7803,0,1,1,0,1
Z3/v-->v/V1/Chc/0/numPlain/7803/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,2,2.121462779,5079222724,2.019575037,0.996942,1.02267,1087164,63418,0,61482,2,,,,,,,,Z3,v-->v,V1,0,7803,0,1,1,0,1
Z3/v-->v/V1/Chc/0/numPlain/7803/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,3,3.102754638,7428618042,2.97639683,1.587887,1.388548,1087412,64973,0,91766,8,,,,,,,,Z3,v-->v,V1,0,7803,0,1,1,0,1
Z3/v-->v/V1/Chc/0/numPlain/7803/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,4,4.205360742,10068472452,3.938696742,2.119794,1.818941,1096652,128270,0,121331,8,,,,,,,,Z3,v-->v,V1,0,7803,0,1,1,0,1
Z3/v-->v/V1/Chc/0/numPlain/7803/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,5,5.007290421,11988438320,4.670360306,2.585697,2.084701,1329912,97203,0,152961,6,,,,,,,,Z3,v-->v,V1,0,7803,0,1,1,0,1
Z3/v-->v/V1/Chc/0/numPlain/7803/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,6,5.764107752,13800406336,5.337597438,2.978656,2.358979,1584628,275489,0,182762,11,,,,,,,,Z3,v-->v,V1,0,7803,0,1,1,0,1
Z3/v-->v/V1/Chc/0/numPlain/7803/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,7,7.782070731,18631795634,7.175897757,3.673596,3.502337,1839080,451681,0,212666,21,,,,,,,,Z3,v-->v,V1,0,7803,0,1,1,0,1
Z3/v-->v/V1/Chc/0/numPlain/7803/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,8,8.164686337,19547846916,7.597130138,4.050177,3.54699,2092508,519860,0,243380,6,,,,,,,,Z3,v-->v,V1,0,7803,0,1,1,0,1
Z3/v-->v/V1/Chc/0/numPlain/7803/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,9,9.105784315,21801017134,8.492665643,4.42065,4.072053,2347248,575026,0,276673,20,,,,,,,,Z3,v-->v,V1,0,7803,0,1,1,0,1
Z3/v-->v/V1/Chc/0/numPlain/7803/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,10,11.759983968,28155674724,10.83426287,5.926734,4.90758,2602540,657348,0,306504,34,,,,,,,,Z3,v-->v,V1,0,7803,0,1,1,0,1
Z3/v-->v/V2/Chc/0/numPlain/9953/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,1,1.039894934,2489738206,0.963975388,0.531228,0.432786,2611228,1367,0,33434,0,,,,,,,,Z3,v-->v,V2,0,9953,0,1,1,0,1
Z3/v-->v/V2/Chc/0/numPlain/9953/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,2,2.536658695,6073281640,2.272072288,1.115869,1.156242,2611248,71295,0,66312,3,,,,,,,,Z3,v-->v,V2,0,9953,0,1,1,0,1
Z3/v-->v/V2/Chc/0/numPlain/9953/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,3,3.811457503,9125388728,3.507257562,1.797201,1.710093,2611256,73743,0,99143,5,,,,,,,,Z3,v-->v,V2,0,9953,0,1,1,0,1
Z3/v-->v/V2/Chc/0/numPlain/9953/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,4,4.491194797,10752810288,4.140035859,2.283149,1.856923,2611340,146235,0,133529,6,,,,,,,,Z3,v-->v,V2,0,9953,0,1,1,0,1
Z3/v-->v/V2/Chc/0/numPlain/9953/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,5,5.501780161,13172346006,5.168625945,2.796859,2.371819,2611364,376393,0,166363,4,,,,,,,,Z3,v-->v,V2,0,9953,0,1,1,0,1
Z3/v-->v/V2/Chc/0/numPlain/9953/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,6,7.852113158,18799504082,7.421165589,3.619838,3.801372,2611448,457638,0,197034,3,,,,,,,,Z3,v-->v,V2,0,9953,0,1,1,0,1
Z3/v-->v/V2/Chc/0/numPlain/9953/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,7,8.686848579,20798008406,7.878553601,4.331791,3.546798,2611468,526584,0,234208,13,,,,,,,,Z3,v-->v,V2,0,9953,0,1,1,0,1
Z3/v-->v/V2/Chc/0/numPlain/9953/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,8,8.48400374,20312359176,7.839716231,4.309228,3.530527,2611896,598301,0,266637,16,,,,,,,,Z3,v-->v,V2,0,9953,0,1,1,0,1
Z3/v-->v/V2/Chc/0/numPlain/9953/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,9,10.610994614,25404782730,9.814310936,5.114722,4.699643,2633452,660028,0,298752,9,,,,,,,,Z3,v-->v,V2,0,9953,0,1,1,0,1
Z3/v-->v/V2/Chc/0/numPlain/9953/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,10,11.171671771,26747140552,10.510955984,5.929987,4.581002,2655568,730834,0,335097,6,,,,,,,,Z3,v-->v,V2,0,9953,0,1,1,0,1
Z3/v-->v/V3/Chc/0/numPlain/5070/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,1,0.921635542,2206603100,0.853640486,0.45861,0.395086,2655580,40212,0,25541,8,,,,,,,,Z3,v-->v,V3,0,5070,0,1,1,0,1
Z3/v-->v/V3/Chc/0/numPlain/5070/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,2,1.72272153,4124559918,1.610514643,0.835924,0.774625,2655588,52084,0,50417,4,,,,,,,,Z3,v-->v,V3,0,5070,0,1,1,0,1
Z3/v-->v/V3/Chc/0/numPlain/5070/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,3,2.039086599,4881989782,1.9614067,1.132454,0.828992,2655648,53400,0,76830,0,,,,,,,,Z3,v-->v,V3,0,5070,0,1,1,0,1
Z3/v-->v/V3/Chc/0/numPlain/5070/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,4,3.117484925,7463891702,2.899401596,1.502236,1.3972,2655648,53252,0,101185,2,,,,,,,,Z3,v-->v,V3,0,5070,0,1,1,0,1
Z3/v-->v/V3/Chc/0/numPlain/5070/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,5,4.015602046,9614151588,3.744824797,2.086877,1.657984,2655656,56894,0,127039,2,,,,,,,,Z3,v-->v,V3,0,5070,0,1,1,0,1
Z3/v-->v/V3/Chc/0/numPlain/5070/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,6,5.232033611,12526570148,4.9361045,2.606598,2.329562,2655664,307830,0,151001,5,,,,,,,,Z3,v-->v,V3,0,5070,0,1,1,0,1
Z3/v-->v/V3/Chc/0/numPlain/5070/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,7,4.13688412,9904521136,3.911196032,2.253477,1.657754,2655664,58507,0,177428,6,,,,,,,,Z3,v-->v,V3,0,5070,0,1,1,0,1
Z3/v-->v/V3/Chc/0/numPlain/5070/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,8,4.88142606,11687097150,4.772788348,2.726857,2.045963,2655672,165652,0,202647,10,,,,,,,,Z3,v-->v,V3,0,5070,0,1,1,0,1
Z3/v-->v/V3/Chc/0/numPlain/5070/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,9,6.074052218,14542482820,5.75833497,3.216072,2.542302,2655764,357482,0,229053,13,,,,,,,,Z3,v-->v,V3,0,5070,0,1,1,0,1
Z3/v-->v/V3/Chc/0/numPlain/5070/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,10,7.195347383,17227068278,6.463177647,3.596691,2.866521,2656124,58214,0,254242,7,,,,,,,,Z3,v-->v,V3,0,5070,0,1,1,0,1
Z3/v-->v/V4/Chc/0/numPlain/5398/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,1,0.566999135,1357531574,0.554250368,0.32051,0.233774,2656140,615,0,26372,0,,,,,,,,Z3,v-->v,V4,0,5398,0,1,1,0,1
Z3/v-->v/V4/Chc/0/numPlain/5398/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,2,1.278676894,3061430204,1.258391109,0.712046,0.546382,2656148,52664,0,52934,0,,,,,,,,Z3,v-->v,V4,0,5398,0,1,1,0,1
