Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Fin/VSolve/V1+V2/Chc/2398/numPlain/56993/Compression/1.8779919696263498e-3,0.5229017121667804,0.5216524940001364,0.5242984052500219,1.5246014187002559e-3,6.57358916593409e-4,2.125893084255319e-3
Fin/VSolve/V1/Chc/2398/numPlain/56993/Compression/1.8779919696263498e-3,0.5030481892081488,0.4861623144997793,0.530036713624952,2.798196911352556e-2,5.220880338410831e-4,3.394855753854905e-2
Fin/VSolve/V1+V2/Chc/2398/numPlain/56993/Compression/1.8779919696263498e-3,0.5936139899793034,0.5845695644584339,0.6073582697501934,1.2960744464478714e-2,1.1644620826700702e-4,1.5937757500770793e-2
Fin/VSolve/V1+V2+V3/Chc/2398/numPlain/56993/Compression/1.8779919696263498e-3,0.6331861189375445,0.6134519405624701,0.6443148895000377,1.915585785304861e-2,5.046725499823879e-3,2.5700794720020067e-2
Fin/VSolve/V1+V2+V3+V4/Chc/2398/numPlain/56993/Compression/1.8779919696263498e-3,0.6508574124373278,0.6428878701248474,0.6720636714999273,1.4399334082937067e-2,1.4002672379985204e-3,1.8404869597714618e-2
Fin/VSolve/V1+V2+V3+V4+V5/Chc/2398/numPlain/56993/Compression/1.8779919696263498e-3,0.7752319348750234,0.7654902732500659,0.7828646862499227,9.686206738149844e-3,4.870319602271487e-3,1.2712271143367936e-2
Fin/VSolve/V1+V2+V3+V4+V5+V6/Chc/2398/numPlain/56993/Compression/1.8779919696263498e-3,0.9226125891248671,0.8962042942500261,0.9460702447497624,2.786864969546053e-2,2.2021110976078548e-2,3.363713913291604e-2
Fin/VSolve/V1+V2+V3+V4+V5+V6+V7/Chc/2398/numPlain/56993/Compression/1.8779919696263498e-3,0.9939138460623553,0.9812910921872344,1.0030747907499062,1.311542632348068e-2,7.671567269433838e-3,1.832780243030707e-2
Fin/VSolve/V1+V2+V3+V4+V5+V6+V7+V8/Chc/2398/numPlain/56993/Compression/1.8779919696263498e-3,0.9914566300208587,0.9550977391249944,1.02186472179172,3.652979485170368e-2,2.2822763916641065e-2,4.3871022095950445e-2
Fin/VSolve/V1+V2+V3+V4+V5+V6+V7+V8+V9/Chc/2398/numPlain/56993/Compression/1.8779919696263498e-3,0.9761109545832671,0.9507518694999817,1.0014700396665526,3.0718686618406713e-2,1.9488502999820412e-2,3.606091349085173e-2
Fin/VSolve/V1+V2+V3+V4+V5+V6+V7+V8+V9+V10/Chc/2398/numPlain/56993/Compression/1.8779919696263498e-3,1.0327736441667714,0.9931544799999301,1.0867448956670007,5.175661970476979e-2,2.156452558339572e-2,6.659597108613516e-2
Fin/PlainOnVSAT/V1/Chc/0/numPlain/12825/Compression/0.0,0.2345804495234097,0.22824246158008465,0.24184748534013126,9.254992968872961e-3,7.142496206982373e-3,1.1581509950856207e-2
Fin/PlainOnVSAT/V1+V2/Chc/0/numPlain/19811/Compression/0.0,0.26060163434333844,0.2554812203500205,0.2681876019799711,7.5757794793980026e-3,4.026480626452518e-3,1.0604534650523382e-2
Fin/PlainOnVSAT/V1+V2+V3/Chc/0/numPlain/22441/Compression/0.0,0.2888086326765733,0.2735915052333439,0.29816495408664195,1.4607922079879416e-2,7.026621470261527e-3,1.987405179111514e-2
Fin/PlainOnVSAT/V1+V2+V3+V4/Chc/0/numPlain/25027/Compression/0.0,0.33038505005327046,0.32581642492001267,0.3358457547598664,6.83862184968172e-3,3.564958653464839e-3,9.224925157209865e-3
Fin/PlainOnVSAT/V1+V2+V3+V4+V5/Chc/0/numPlain/35020/Compression/0.0,0.4305447798956455,0.41883206900001824,0.4353813704789028,8.582636231580069e-3,3.386772330378764e-3,1.116962750081449e-2
Fin/PlainOnVSAT/V1+V2+V3+V4+V5+V6/Chc/0/numPlain/45799/Compression/0.0,0.5356865993748746,0.502428210499905,0.5533633312498599,3.184400816334436e-2,4.6186650000284435e-3,4.082266362566243e-2
Fin/PlainOnVSAT/V1+V2+V3+V4+V5+V6+V7/Chc/0/numPlain/49769/Compression/0.0,0.5891957013751229,0.5799903235000936,0.6041887820000511,1.5105767418557533e-2,9.403248987074949e-4,2.0318584677854103e-2
Fin/PlainOnVSAT/V1+V2+V3+V4+V5+V6+V7+V8/Chc/0/numPlain/51966/Compression/0.0,0.6030443719791,0.5707263745624118,0.6197268497291096,3.1045174280771193e-2,2.0939161666622685e-3,3.852653207887203e-2
Fin/PlainOnVSAT/V1+V2+V3+V4+V5+V6+V7+V8+V9/Chc/0/numPlain/55606/Compression/0.0,0.6459238608544146,0.6349864578752431,0.6616349639169433,1.4842359584753507e-2,2.2222890219182785e-4,1.8252733615929786e-2
Fin/PlainOnVSAT/V1+V2+V3+V4+V5+V6+V7+V8+V9+V10/Chc/0/numPlain/57093/Compression/0.0,0.628690702083342,0.625110785874881,0.6314598179167963,3.468382522480266e-3,1.6216007500133856e-3,4.295926521275402e-3
Fin/BruteForce/V1/Chc/0/numPlain/12825/Compression/0.0,0.24144798748005392,0.24026524040012495,0.24277217427998038,1.6055084594460652e-3,8.02808430674939e-4,2.185735886678652e-3
Fin/BruteForce/V1+V2/Chc/0/numPlain/19811/Compression/0.0,0.29198220709337874,0.28288724135997656,0.3099589602001288,1.6107612956956764e-2,7.222363307085962e-3,2.130295902583954e-2
Fin/BruteForce/V1+V2+V3/Chc/0/numPlain/22441/Compression/0.0,0.3084198366934773,0.3010565077599677,0.31443031282027734,8.35383288647522e-3,4.67473142297406e-3,1.1038507118917717e-2
Fin/BruteForce/V1+V2+V3+V4/Chc/0/numPlain/25027/Compression/0.0,0.33178632619996884,0.3208764964000329,0.35074580439968484,1.767501401501943e-2,7.713480317707053e-3,2.4000483857687313e-2
Fin/BruteForce/V1+V2+V3+V4+V5/Chc/0/numPlain/35020/Compression/0.0,0.4235516403332819,0.41229598083297486,0.4307069650833834,1.0748396459400476e-2,4.256768622110051e-3,1.417278228402578e-2
Fin/BruteForce/V1+V2+V3+V4+V5+V6/Chc/0/numPlain/45799/Compression/0.0,0.546946314750168,0.5409416327501049,0.5508603610001803,6.396730100843986e-3,3.6468209999232504e-3,9.039102624261162e-3
Fin/BruteForce/V1+V2+V3+V4+V5+V6+V7/Chc/0/numPlain/49769/Compression/0.0,0.5649038225208187,0.5487164207916067,0.5876640216249598,2.1580643998077804e-2,1.512473578553792e-3,2.7037450948447544e-2
Fin/BruteForce/V1+V2+V3+V4+V5+V6+V7+V8/Chc/0/numPlain/51966/Compression/0.0,0.5761896618123122,0.5644817219375682,0.5876858503745552,1.4204280943688011e-2,7.063617993276136e-3,1.9485692250986685e-2
Fin/BruteForce/V1+V2+V3+V4+V5+V6+V7+V8+V9/Chc/0/numPlain/55606/Compression/0.0,0.5940891010207187,0.562330471499763,0.612924522458305,3.1477839353138345e-2,1.3473462600043083e-2,4.3498542549162036e-2
Fin/BruteForce/V1+V2+V3+V4+V5+V6+V7+V8+V9+V10/Chc/0/numPlain/57093/Compression/0.0,0.6394751862291249,0.6252288791248475,0.6576178026667397,1.816415688946893e-2,8.881649920201054e-3,2.4018787046249497e-2
Fin/VariationalOnPlain/V1/Chc/2398/numPlain/56993/Compression/1.8779919696263498e-3,0.24506028266669394,0.2418358064000131,0.24727493196677036,3.4650136576342256e-3,2.1318420699131826e-3,4.4402032867697635e-3
Fin/VariationalOnPlain/V1+V2/Chc/2398/numPlain/56993/Compression/1.8779919696263498e-3,0.2932368279966765,0.285930407166749,0.3005432488266039,9.499479126377487e-3,7.811705349376048e-3,1.0316470022282049e-2
Fin/VariationalOnPlain/V1+V2+V3/Chc/2398/numPlain/56993/Compression/1.8779919696263498e-3,0.3046462533666393,0.30270043829987114,0.3063116256666884,2.2949406270905215e-3,1.6175624645375056e-3,2.943247412368159e-3
Fin/VariationalOnPlain/V1+V2+V3+V4/Chc/2398/numPlain/56993/Compression/1.8779919696263498e-3,0.33068302212346984,0.3234559052402619,0.3399232219834479,1.0002276314217323e-2,4.130588683510946e-3,1.28797334862026e-2
Fin/VariationalOnPlain/V1+V2+V3+V4+V5/Chc/2398/numPlain/56993/Compression/1.8779919696263498e-3,0.42817239502096527,0.42617460950009445,0.4297996811878875,2.0033810907160044e-3,1.3618489115734772e-3,2.357587548033111e-3
Fin/VariationalOnPlain/V1+V2+V3+V4+V5+V6/Chc/2398/numPlain/56993/Compression/1.8779919696263498e-3,0.5253439537082537,0.5108346145000269,0.5398532929164805,1.833052106722846e-2,8.521730583349096e-3,2.3531406424101325e-2
Fin/VariationalOnPlain/V1+V2+V3+V4+V5+V6+V7/Chc/2398/numPlain/56993/Compression/1.8779919696263498e-3,0.5679231876874269,0.563540016374759,0.5737545082499764,5.726938575487997e-3,2.2593810373694513e-3,7.863119511722675e-3
Fin/VariationalOnPlain/V1+V2+V3+V4+V5+V6+V7+V8/Chc/2398/numPlain/56993/Compression/1.8779919696263498e-3,0.5759772093958304,0.5414088645002266,0.5883787148540591,2.3186631313610324e-2,8.302301203039764e-4,2.864005005865984e-2
Fin/VariationalOnPlain/V1+V2+V3+V4+V5+V6+V7+V8+V9/Chc/2398/numPlain/56993/Compression/1.8779919696263498e-3,0.6295711480623064,0.6189758397499645,0.6335143411246614,7.301363751347208e-3,4.097882095648771e-4,9.106414304069346e-3
Fin/VariationalOnPlain/V1+V2+V3+V4+V5+V6+V7+V8+V9+V10/Chc/2398/numPlain/56993/Compression/1.8779919696263498e-3,0.6411306027915771,0.6008303371248758,0.679350703124669,4.8359272476083424e-2,2.3925045750047502e-2,6.0445005929131455e-2
