Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Z3/v-->v/V1*V2/Chc/1322/numPlain/3143/Compression/0.43001393608958216/VCore_Total/2309/VCorePlain/996/VCoreVar/1313/Variants/4,0.5834257988741834,0.5750126804978208,0.5890546161250919,8.001070238417762e-3,3.238753750338219e-3,1.0169858716337118e-2
Z3/v-->v/V2*V3/Chc/842/numPlain/3639/Compression/0.4203214779256673/VCore_Total/2324/VCorePlain/1507/VCoreVar/817/Variants/4,0.4812662773957375,0.4741605210617763,0.48983751100058726,9.364774314896322e-3,3.1039650002639974e-3,1.2825891271918414e-2
Z3/v-->v/V3*V4/Chc/156/numPlain/4305/Compression/0.3509300942835301/VCore_Total/2312/VCorePlain/2161/VCoreVar/151/Variants/4,0.22186500717222468,0.21991573284427027,0.22484170591683827,3.2499904809205104e-3,2.419547130665157e-3,4.3085907598366165e-3
Z3/v-->v/V4*V5/Chc/759/numPlain/3773/Compression/0.4302100275793791/VCore_Total/2380/VCorePlain/1697/VCoreVar/683/Variants/4,0.46357487672980824,0.45991330675042263,0.4662060510008814,3.770611081609449e-3,1.9282336238575228e-3,4.8441567825917966e-3
Z3/v-->v/V5*V6/Chc/1349/numPlain/3224/Compression/0.4665144596651446/VCore_Total/2812/VCorePlain/1580/VCoreVar/1232/Variants/4,0.6466982014591546,0.6387717425018309,0.6508563798335368,7.5628225825471e-3,1.2811121672105519e-3,9.602901615152312e-3
Z3/v-->v/V6*V7/Chc/1089/numPlain/3603/Compression/0.44600223651104276/VCore_Total/2925/VCorePlain/2072/VCoreVar/853/Variants/4,0.5032741767709012,0.49605477700060874,0.5079900666451067,7.301065337376116e-3,3.2871691614345545e-3,9.583464445664035e-3
Z3/v-->v/V7*V8/Chc/806/numPlain/3734/Compression/0.40540540540540543/VCore_Total/3182/VCorePlain/2460/VCoreVar/722/Variants/4,0.3674266134377528,0.3576513926877851,0.3816290134382143,1.3767132066128614e-2,3.5653609996491864e-3,1.845798105971607e-2
Z3/v-->v/V8*V9/Chc/504/numPlain/4027/Compression/0.39012297859978695/VCore_Total/3207/VCorePlain/2778/VCoreVar/429/Variants/4,0.3205203345767586,0.3168869712997548,0.32345234091990277,4.093000297067202e-3,2.262593556569181e-3,5.980279669614446e-3
Z3/v-->v/V9*V10/Chc/176/numPlain/4302/Compression/0.33403545359749737/VCore_Total/3156/VCorePlain/3002/VCoreVar/154/Variants/4,0.2417224411601031,0.2390251373802433,0.24372501549999775,2.835878785428314e-3,1.240238194693267e-3,3.8221718846112e-3
Z3/p-->v/V1*V2/Chc/1322/numPlain/3143/Compression/0.43001393608958216/VCore_Total/2309/VCorePlain/996/VCoreVar/1313/Variants/4,0.6172762732495963,0.610216548999233,0.6283831677502955,1.0774690008442098e-2,2.990511000461993e-3,1.4551709390810099e-2
Z3/p-->v/V2*V3/Chc/842/numPlain/3639/Compression/0.4203214779256673/VCore_Total/2324/VCorePlain/1507/VCoreVar/817/Variants/4,0.50021207137479,0.48899393862529905,0.5106533114994818,1.2759671336581714e-2,7.227106249956705e-3,1.576786770890834e-2
Z3/p-->v/V3*V4/Chc/156/numPlain/4305/Compression/0.3509300942835301/VCore_Total/2312/VCorePlain/2161/VCoreVar/151/Variants/4,0.30914802124993,0.30447947199972986,0.3116657573500561,4.789875480049926e-3,2.0131869543422273e-3,6.5601509850709725e-3
Z3/p-->v/V4*V5/Chc/759/numPlain/3773/Compression/0.4302100275793791/VCore_Total/2380/VCorePlain/1697/VCoreVar/683/Variants/4,0.5116227113748361,0.5064259285004482,0.516042741749364,5.523544638712055e-3,2.6091594994189227e-3,7.19482502754391e-3
Z3/p-->v/V5*V6/Chc/1349/numPlain/3224/Compression/0.4665144596651446/VCore_Total/2812/VCorePlain/1580/VCoreVar/1232/Variants/4,0.6866401782914787,0.6765362442492915,0.6924928369168507,9.98930714251821e-3,3.3078062989145684e-3,1.3516136131334006e-2
Z3/p-->v/V6*V7/Chc/1089/numPlain/3603/Compression/0.44600223651104276/VCore_Total/2925/VCorePlain/2072/VCoreVar/853/Variants/4,0.5476374782703411,0.5438961429972551,0.5491028318545734,2.644936344557857e-3,3.1244599313450406e-4,3.3840891452580147e-3
Z3/p-->v/V7*V8/Chc/806/numPlain/3734/Compression/0.40540540540540543/VCore_Total/3182/VCorePlain/2460/VCoreVar/722/Variants/4,0.4221093002913676,0.4147227028747693,0.4293386617498527,8.448436780577653e-3,7.254535828906034e-3,8.628031156978865e-3
Z3/p-->v/V8*V9/Chc/504/numPlain/4027/Compression/0.39012297859978695/VCore_Total/3207/VCorePlain/2778/VCoreVar/429/Variants/4,0.38220334847930343,0.376521772687056,0.3856904243547585,5.7657544477054306e-3,2.9850763107277505e-3,8.053056781514488e-3
