name,iters,time,cycles,cpuTime,utime,stime,maxrss,minflt,majflt,nvcsw,nivcsw,allocated,numGcs,bytesCopied,mutatorWallSeconds,mutatorCpuSeconds,gcWallSeconds,gcCpuSeconds
Z3/v-->v/V1/Chc/0/numPlain/7803/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,1,0.886429339,2122308998,0.808711921,0.449912,0.358833,1090164,655,0,29996,3,,,,,,,
Z3/v-->v/V1/Chc/0/numPlain/7803/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,2,2.134775138,5111082686,1.925058832,0.906985,1.018117,1091264,64330,0,58643,7,,,,,,,
Z3/v-->v/V1/Chc/0/numPlain/7803/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,3,2.799853286,6703403620,2.611427768,1.262608,1.348856,1093232,66360,0,88651,9,,,,,,,
Z3/v-->v/V1/Chc/0/numPlain/7803/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,4,3.701514488,8862150450,3.406251346,1.817538,1.588746,1119408,65724,0,119303,2,,,,,,,
Z3/v-->v/V1/Chc/0/numPlain/7803/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,5,4.85411766,11621700598,4.422033397,2.465876,1.956195,1357760,65440,0,148966,15,,,,,,,
Z3/v-->v/V1/Chc/0/numPlain/7803/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,6,5.242869757,12552446722,4.782077527,2.604408,2.177704,1617160,65783,0,179085,1,,,,,,,
Z3/v-->v/V1/Chc/0/numPlain/7803/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,7,7.218317841,17282043664,6.703045755,3.428409,3.274676,1878832,364558,0,208691,5,,,,,,,
Z3/v-->v/V1/Chc/0/numPlain/7803/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,8,8.141203206,19491602472,7.64484914,3.9588,3.686144,2139284,525008,0,238010,9,,,,,,,
Z3/v-->v/V1/Chc/0/numPlain/7803/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,9,9.814652156,23498161084,9.045191487,4.822439,4.22279,2399212,601499,0,267782,33,,,,,,,
Z3/v-->v/V1/Chc/0/numPlain/7803/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,10,9.027937318,21614611692,8.462292913,4.567232,3.895097,2645596,692162,0,299790,27,,,,,,,
Z3/v-->v/V2/Chc/0/numPlain/9953/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,1,0.89979576,2154315054,0.87856469,0.53022,0.348378,2650496,971,0,33902,2,,,,,,,
