Name,Time,DataSet,Algorithm,Config,ChcCount,PlainCount,CompressionRatio,VCoreSize,VCorePlain,VCoreVar,Variants
Z3/v-->v/V1*V2/Chc/3250/numPlain/27749/Compression/0.4893513832228362/VCore_Total/5633/VCorePlain/2383/VCoreVar/3250/Variants/4,109.08458902746666,Z3,v-->v,V1*V2,3250,27749.0,0.4893513832228362,5633,2383,3250,4
Z3/v-->v/V2*V3/Chc/2868/numPlain/28152/Compression/0.4926710479856943/VCore_Total/6028/VCorePlain/3181/VCoreVar/2847/Variants/4,74.76615708853333,Z3,v-->v,V2*V3,2868,28152.0,0.4926710479856943,6028,3181,2847,4
Z3/v-->v/V3*V4/Chc/962/numPlain/30037/Compression/0.4053482441512341/VCore_Total/6135/VCorePlain/5173/VCoreVar/962/Variants/4,13.129761265,Z3,v-->v,V3*V4,962,30037.0,0.4053482441512341,6135,5173,962,4
Z3/v-->p/V1*V2/Chc/3250/numPlain/27749/Compression/0.4893513832228362/VCore_Total/5633/VCorePlain/2383/VCoreVar/3250/Variants/4,112.71887098486667,Z3,v-->p,V1*V2,3250,27749.0,0.4893513832228362,5633,2383,3250,4
Z3/v-->p/V2*V3/Chc/2868/numPlain/28152/Compression/0.4926710479856943/VCore_Total/6028/VCorePlain/3181/VCoreVar/2847/Variants/4,71.44141343206667,Z3,v-->p,V2*V3,2868,28152.0,0.4926710479856943,6028,3181,2847,4
Z3/v-->p/V3*V4/Chc/962/numPlain/30037/Compression/0.4053482441512341/VCore_Total/6135/VCorePlain/5173/VCoreVar/962/Variants/4,15.006994438,Z3,v-->p,V3*V4,962,30037.0,0.4053482441512341,6135,5173,962,4
Z3/p-->v/V1*V2/Chc/3250/numPlain/27749/Compression/0.4893513832228362/VCore_Total/5633/VCorePlain/2383/VCoreVar/3250/Variants/4,123.0881633836,Z3,p-->v,V1*V2,3250,27749.0,0.4893513832228362,5633,2383,3250,4
Z3/p-->v/V2*V3/Chc/2868/numPlain/28152/Compression/0.4926710479856943/VCore_Total/6028/VCorePlain/3181/VCoreVar/2847/Variants/4,79.06780715793334,Z3,p-->v,V2*V3,2868,28152.0,0.4926710479856943,6028,3181,2847,4
Z3/p-->v/V3*V4/Chc/962/numPlain/30037/Compression/0.4053482441512341/VCore_Total/6135/VCorePlain/5173/VCoreVar/962/Variants/4,16.375832457466668,Z3,p-->v,V3*V4,962,30037.0,0.4053482441512341,6135,5173,962,4
Z3/p-->p/V1*V2/Chc/3250/numPlain/27749/Compression/0.4893513832228362/VCore_Total/5633/VCorePlain/2383/VCoreVar/3250/Variants/4,131.47737908460002,Z3,p-->p,V1*V2,3250,27749.0,0.4893513832228362,5633,2383,3250,4
Z3/p-->p/V2*V3/Chc/2868/numPlain/28152/Compression/0.4926710479856943/VCore_Total/6028/VCorePlain/3181/VCoreVar/2847/Variants/4,82.9955782052,Z3,p-->p,V2*V3,2868,28152.0,0.4926710479856943,6028,3181,2847,4
Z3/p-->p/V3*V4/Chc/962/numPlain/30037/Compression/0.4053482441512341/VCore_Total/6135/VCorePlain/5173/VCoreVar/962/Variants/4,17.90425684786667,Z3,p-->p,V3*V4,962,30037.0,0.4053482441512341,6135,5173,962,4
