Name,Time,DataSet,Algorithm,Config,ChcCount,PlainCount,CompressionRatio,VCoreSize,VCorePlain,VCoreVar,Variants
Yices/v-->v/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,22.262226421999998,Yices,v-->v,V1,0,479622.0,0.0,1,1,0,1
Yices/v-->v/V2/Chc/0/numPlain/687613/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,39.47243150533333,Yices,v-->v,V2,0,687613.0,0.0,1,1,0,1
Yices/v-->v/V3/Chc/0/numPlain/77192/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,8.239715520999999,Yices,v-->v,V3,0,77192.0,0.0,1,1,0,1
Yices/v-->v/V4/Chc/0/numPlain/70791/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,7.961688231,Yices,v-->v,V4,0,70791.0,0.0,1,1,0,1
Yices/p-->v/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,23.35200748833333,Yices,p-->v,V1,0,479622.0,0.0,1,1,0,1
Yices/p-->v/V2/Chc/0/numPlain/687613/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,33.98242487433333,Yices,p-->v,V2,0,687613.0,0.0,1,1,0,1
Yices/p-->v/V3/Chc/0/numPlain/77192/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,4.260158458666667,Yices,p-->v,V3,0,77192.0,0.0,1,1,0,1
Yices/p-->v/V4/Chc/0/numPlain/70791/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,3.7350582953333333,Yices,p-->v,V4,0,70791.0,0.0,1,1,0,1
Yices/p-->p/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,24.490616540666664,Yices,p-->p,V1,0,479622.0,0.0,1,1,0,1
Yices/p-->p/V2/Chc/0/numPlain/687613/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,36.20965699366666,Yices,p-->p,V2,0,687613.0,0.0,1,1,0,1
Yices/p-->p/V3/Chc/0/numPlain/77192/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,4.184344609,Yices,p-->p,V3,0,77192.0,0.0,1,1,0,1
Yices/p-->p/V4/Chc/0/numPlain/70791/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,3.6709552543333337,Yices,p-->p,V4,0,70791.0,0.0,1,1,0,1
Yices/v-->p/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,25.198392222,Yices,v-->p,V1,0,479622.0,0.0,1,1,0,1
