Name,Time,DataSet,Algorithm,Config,ChcCount,PlainCount,CompressionRatio,VCoreSize,VCorePlain,VCoreVar,Variants
Z3/v-->v/V1*V2/Chc/1322/numPlain/3143/Compression/0.43001393608958216/VCore_Total/2309/VCorePlain/996/VCoreVar/1313/Variants/4,0.5926311970666667,Z3,v-->v,V1*V2,1322,3143.0,0.43001393608958216,2309,996,1313,4
Z3/v-->v/V2*V3/Chc/842/numPlain/3639/Compression/0.4203214779256673/VCore_Total/2324/VCorePlain/1507/VCoreVar/817/Variants/4,0.47522831433333335,Z3,v-->v,V2*V3,842,3639.0,0.4203214779256673,2324,1507,817,4
Z3/v-->v/V3*V4/Chc/156/numPlain/4305/Compression/0.3509300942835301/VCore_Total/2312/VCorePlain/2161/VCoreVar/151/Variants/4,0.2238290186,Z3,v-->v,V3*V4,156,4305.0,0.3509300942835301,2312,2161,151,4
Z3/v-->v/V4*V5/Chc/759/numPlain/3773/Compression/0.4302100275793791/VCore_Total/2380/VCorePlain/1697/VCoreVar/683/Variants/4,0.473026363,Z3,v-->v,V4*V5,759,3773.0,0.4302100275793791,2380,1697,683,4
Z3/v-->v/V5*V6/Chc/1349/numPlain/3224/Compression/0.4665144596651446/VCore_Total/2812/VCorePlain/1580/VCoreVar/1232/Variants/4,0.6372811964,Z3,v-->v,V5*V6,1349,3224.0,0.4665144596651446,2812,1580,1232,4
Z3/v-->v/V6*V7/Chc/1089/numPlain/3603/Compression/0.44600223651104276/VCore_Total/2925/VCorePlain/2072/VCoreVar/853/Variants/4,0.5164233164666666,Z3,v-->v,V6*V7,1089,3603.0,0.44600223651104276,2925,2072,853,4
Z3/v-->v/V7*V8/Chc/806/numPlain/3734/Compression/0.40540540540540543/VCore_Total/3182/VCorePlain/2460/VCoreVar/722/Variants/4,0.35211619666666666,Z3,v-->v,V7*V8,806,3734.0,0.40540540540540543,3182,2460,722,4
Z3/v-->v/V8*V9/Chc/504/numPlain/4027/Compression/0.39012297859978695/VCore_Total/3207/VCorePlain/2778/VCoreVar/429/Variants/4,0.3216499864,Z3,v-->v,V8*V9,504,4027.0,0.39012297859978695,3207,2778,429,4
Z3/v-->v/V9*V10/Chc/176/numPlain/4302/Compression/0.33403545359749737/VCore_Total/3156/VCorePlain/3002/VCoreVar/154/Variants/4,0.23829824093333332,Z3,v-->v,V9*V10,176,4302.0,0.33403545359749737,3156,3002,154,4
Z3/p-->v/V1*V2/Chc/1322/numPlain/3143/Compression/0.43001393608958216/VCore_Total/2309/VCorePlain/996/VCoreVar/1313/Variants/4,0.608967409,Z3,p-->v,V1*V2,1322,3143.0,0.43001393608958216,2309,996,1313,4
Z3/p-->v/V2*V3/Chc/842/numPlain/3639/Compression/0.4203214779256673/VCore_Total/2324/VCorePlain/1507/VCoreVar/817/Variants/4,0.4971942440666667,Z3,p-->v,V2*V3,842,3639.0,0.4203214779256673,2324,1507,817,4
Z3/p-->v/V3*V4/Chc/156/numPlain/4305/Compression/0.3509300942835301/VCore_Total/2312/VCorePlain/2161/VCoreVar/151/Variants/4,0.3234583964,Z3,p-->v,V3*V4,156,4305.0,0.3509300942835301,2312,2161,151,4
Z3/p-->v/V4*V5/Chc/759/numPlain/3773/Compression/0.4302100275793791/VCore_Total/2380/VCorePlain/1697/VCoreVar/683/Variants/4,0.5165849687999999,Z3,p-->v,V4*V5,759,3773.0,0.4302100275793791,2380,1697,683,4
Z3/p-->v/V5*V6/Chc/1349/numPlain/3224/Compression/0.4665144596651446/VCore_Total/2812/VCorePlain/1580/VCoreVar/1232/Variants/4,0.6870772618666667,Z3,p-->v,V5*V6,1349,3224.0,0.4665144596651446,2812,1580,1232,4
Z3/p-->v/V6*V7/Chc/1089/numPlain/3603/Compression/0.44600223651104276/VCore_Total/2925/VCorePlain/2072/VCoreVar/853/Variants/4,0.5532156334,Z3,p-->v,V6*V7,1089,3603.0,0.44600223651104276,2925,2072,853,4
Z3/p-->v/V7*V8/Chc/806/numPlain/3734/Compression/0.40540540540540543/VCore_Total/3182/VCorePlain/2460/VCoreVar/722/Variants/4,0.42456184086666665,Z3,p-->v,V7*V8,806,3734.0,0.40540540540540543,3182,2460,722,4
Z3/p-->v/V8*V9/Chc/504/numPlain/4027/Compression/0.39012297859978695/VCore_Total/3207/VCorePlain/2778/VCoreVar/429/Variants/4,0.4012097897333333,Z3,p-->v,V8*V9,504,4027.0,0.39012297859978695,3207,2778,429,4
Z3/p-->v/V9*V10/Chc/176/numPlain/4302/Compression/0.33403545359749737/VCore_Total/3156/VCorePlain/3002/VCoreVar/154/Variants/4,0.33170966086666664,Z3,p-->v,V9*V10,176,4302.0,0.33403545359749737,3156,3002,154,4
Z3/p-->p/V1*V2/Chc/1322/numPlain/3143/Compression/0.43001393608958216/VCore_Total/2309/VCorePlain/996/VCoreVar/1313/Variants/4,0.5935775652,Z3,p-->p,V1*V2,1322,3143.0,0.43001393608958216,2309,996,1313,4
