Name,iters,Time,cycles,cpuTime,utime,stime,maxrss,minflt,majflt,nvcsw,nivcsw,allocated,numGcs,bytesCopied,mutatorWallSeconds,mutatorCpuSeconds,gcWallSeconds,gcCpuSeconds
Yices/v-->v/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,1,23.985049353,95759737720,23.710480574,19.492906,4.217591,1716816,287082,0,1119453,36,,,,,,,
Yices/v-->v/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,2,49.927072323,199332541080,48.443801391,39.769026,8.674789,1716864,435474,0,2238749,73,,,,,,,
Yices/v-->v/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,3,76.570569358,305705813600,74.259746086,61.056483,13.203278,1716880,554103,0,3357666,129,,,,,,,
Yices/v-->v/V1*V2/Chc/3250/numPlain/27749/Compression/0.4893513832228362/VCore_Total/5633/VCorePlain/2383/VCoreVar/3250/Variants/4,1,103.164519756,411880849080,101.344779578,93.326232,8.018561,3231384,547072,0,2424196,270,,,,,,,
Yices/v-->v/V1*V2/Chc/3250/numPlain/27749/Compression/0.4893513832228362/VCore_Total/5633/VCorePlain/2383/VCoreVar/3250/Variants/4,2,214.738139153,857333960320,208.802673301,191.001445,17.801244,3369080,1034143,0,4849992,374,,,,,,,
Yices/v-->v/V1*V2/Chc/3250/numPlain/27749/Compression/0.4893513832228362/VCore_Total/5633/VCorePlain/2383/VCoreVar/3250/Variants/4,3,322.980591125,1289486574160,315.664958872,289.256064,26.408911,3369096,1536405,0,7276089,427,,,,,,,
Yices/v-->v/V1*V2*V3/Chc/4015/numPlain/27005/Compression/0.24787976051561864/VCore_Total/6030/VCorePlain/2036/VCoreVar/3994/Variants/8,1,216.227329535,863277860840,213.32884594,203.821342,9.507521,4418780,722417,0,2630507,652,,,,,,,
Yices/v-->v/V1*V2*V3/Chc/4015/numPlain/27005/Compression/0.24787976051561864/VCore_Total/6030/VCorePlain/2036/VCoreVar/3994/Variants/8,2,449.438471946,1794362534000,442.220670928,423.099754,19.120932,4542460,1037670,0,5261603,690,,,,,,,
Yices/v-->v/V1*V2*V3/Chc/4015/numPlain/27005/Compression/0.24787976051561864/VCore_Total/6030/VCorePlain/2036/VCoreVar/3994/Variants/8,3,705.189012404,2815434861320,694.7580094,666.435505,28.322519,5003668,1198734,0,7898610,1420,,,,,,,
Yices/v-->v/V1*V2*V3*V4/Chc/4212/numPlain/26808/Compression/0.12398757051810842/VCore_Total/6137/VCorePlain/1946/VCoreVar/4191/Variants/16,1,561.964314581,2243616104120,558.006368292,546.054796,11.951589,7286288,1344712,0,3112928,1527,,,,,,,
Yices/v-->v/V1*V2*V3*V4/Chc/4212/numPlain/26808/Compression/0.12398757051810842/VCore_Total/6137/VCorePlain/1946/VCoreVar/4191/Variants/16,2,1204.543709132,4809072207360,1197.547193609,1174.958546,22.588663,7936440,1977001,0,6231087,1172,,,,,,,
Yices/v-->v/V1*V2*V3*V4/Chc/4212/numPlain/26808/Compression/0.12398757051810842/VCore_Total/6137/VCorePlain/1946/VCoreVar/4191/Variants/16,3,1871.076357317,7470182662960,1860.259627684,1826.207347,34.052297,7936440,2608151,0,9352583,3344,,,,,,,
Yices/p-->v/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,1,95.23562093,380223726760,95.509887314,91.602877,3.907027,7936440,34048,0,1265884,175,,,,,,,
Yices/p-->v/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,2,192.358965565,767984022640,193.235866503,185.480738,7.755143,7936440,65024,0,2423476,179,,,,,,,
Yices/p-->v/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,3,283.320227971,1131142427800,285.557217883,274.644742,10.912493,7936440,77312,0,3817557,344,,,,,,,
Yices/p-->v/V1*V2/Chc/3250/numPlain/27749/Compression/0.4893513832228362/VCore_Total/5633/VCorePlain/2383/VCoreVar/3250/Variants/4,1,450.957200205,1800423049880,453.261007053,436.269912,16.991111,7936440,223232,0,5289405,557,,,,,,,
Yices/p-->v/V1*V2/Chc/3250/numPlain/27749/Compression/0.4893513832228362/VCore_Total/5633/VCorePlain/2383/VCoreVar/3250/Variants/4,2,905.920746516,3616843008520,908.972692355,876.116691,32.856017,7936440,406272,0,10469624,2084,,,,,,,
Yices/p-->v/V1*V2/Chc/3250/numPlain/27749/Compression/0.4893513832228362/VCore_Total/5633/VCorePlain/2383/VCoreVar/3250/Variants/4,3,1347.930752622,5381539417920,1353.822839871,1303.970206,49.852649,7936440,589056,0,15799861,2008,,,,,,,
