Name,iters,Time,cycles,cpuTime,utime,stime,maxrss,minflt,majflt,nvcsw,nivcsw,allocated,numGcs,bytesCopied,mutatorWallSeconds,mutatorCpuSeconds,gcWallSeconds,gcCpuSeconds
Yices/v-->v/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,1,22.606777467,90256538920,21.05778204,16.906156,4.151676,1441164,188929,0,1103623,138,,,,,,,
Yices/v-->v/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,2,43.914135356,175325187480,42.354996502,34.536599,7.818411,1524076,346880,0,2206783,171,,,,,,,
Yices/v-->v/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,3,66.786679266,266642770200,64.352995322,52.304747,12.048263,1524076,412662,0,3310583,120,,,,,,,
Yices/v-->v/V2/Chc/0/numPlain/687613/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,1,38.286653979,152856633240,37.484078534,31.810215,5.673878,2300276,396290,0,1540391,41,,,,,,,
Yices/v-->v/V2/Chc/0/numPlain/687613/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,2,76.108639968,303858299000,75.115338795,64.309228,10.806125,2334568,561823,0,3082001,131,,,,,,,
Yices/v-->v/V2/Chc/0/numPlain/687613/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,3,118.417294516,472773011240,114.613047366,96.948311,17.66475,2334664,804126,0,4622160,179,,,,,,,
Yices/v-->v/V3/Chc/0/numPlain/77192/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,1,8.270507263,33019473880,8.262360882,7.226179,1.036197,2334664,53504,0,288684,11,,,,,,,
Yices/v-->v/V3/Chc/0/numPlain/77192/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,2,16.613864509,66329788600,16.669842359,14.576261,2.093597,2334664,105217,0,577523,39,,,,,,,
Yices/v-->v/V3/Chc/0/numPlain/77192/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,3,24.719146563,98689614040,24.848737876,21.7703,3.078453,2334664,121344,0,867166,44,,,,,,,
Yices/v-->v/V4/Chc/0/numPlain/70791/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,1,7.955398566,31761436560,7.99608406,7.014103,0.981995,2334664,53504,0,272636,18,,,,,,,
Yices/v-->v/V4/Chc/0/numPlain/70791/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,2,16.013304562,63932119880,16.073741639,14.0517,2.022057,2334664,93508,0,545327,55,,,,,,,
Yices/v-->v/V4/Chc/0/numPlain/70791/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,3,23.885064693,95359636720,23.915847877,21.033159,2.882704,2334664,105472,0,817554,68,,,,,,,
Yices/p-->v/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,1,23.071499708,92111603320,23.419650578,19.508932,3.910735,2334664,41472,0,1228412,30,,,,,,,
Yices/p-->v/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,2,45.921470726,183338721840,46.94767238,39.44856,7.499129,2334664,64512,0,2406312,79,,,,,,,
Yices/p-->v/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,3,70.056022465,279694544560,70.596314596,58.918927,11.677402,2334664,94464,0,3691812,154,,,,,,,
Yices/p-->v/V2/Chc/0/numPlain/687613/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,1,34.252770276,136752249520,32.658980744,26.978134,5.680861,2334664,106753,0,1523021,67,,,,,,,
Yices/p-->v/V2/Chc/0/numPlain/687613/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,2,67.514970856,269549733720,65.945863196,55.280825,10.665054,2334664,157696,0,3082479,260,,,,,,,
Yices/p-->v/V2/Chc/0/numPlain/687613/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,3,101.947274623,407018860360,100.182426434,84.315656,15.866785,2334664,204032,0,4648554,228,,,,,,,
Yices/p-->v/V3/Chc/0/numPlain/77192/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,1,4.028404813,16083206440,4.021119431,3.141523,0.879612,2334664,0,0,228747,4,,,,,,,
Yices/p-->v/V3/Chc/0/numPlain/77192/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,2,7.974857527,31839200560,7.932909081,6.384803,1.54812,2334664,0,0,464762,16,,,,,,,
Yices/p-->v/V3/Chc/0/numPlain/77192/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,3,12.780475376,51025370840,12.304699672,9.932114,2.372601,2334664,0,0,680650,21,,,,,,,
Yices/p-->v/V4/Chc/0/numPlain/70791/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,1,3.60587889,14396295520,3.527820057,2.883789,0.644047,2334664,0,0,203498,9,,,,,,,
Yices/p-->v/V4/Chc/0/numPlain/70791/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,2,7.466726491,29810517240,7.356763256,5.894613,1.462165,2334664,0,0,406986,8,,,,,,,
Yices/p-->v/V4/Chc/0/numPlain/70791/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,3,11.205174886,44736070080,11.034327542,8.946464,2.087879,2334664,0,0,610578,20,,,,,,,
Yices/p-->p/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,1,24.292281663,96985648880,23.173309047,19.455817,3.717508,2334664,129536,0,1098608,63,,,,,,,
Yices/p-->p/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,2,51.249502114,204610913040,48.187656169,40.216077,7.971597,2334664,219135,0,2198138,81,,,,,,,
Yices/p-->p/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,3,73.471849622,293332474960,71.463107079,60.474617,10.988505,2334664,301208,0,3296566,111,,,,,,,
Yices/p-->p/V2/Chc/0/numPlain/687613/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,1,33.799927281,134944458120,32.757520527,27.65906,5.098477,2334664,171519,0,1522029,74,,,,,,,
