name,iters,time,cycles,cpuTime,utime,stime,maxrss,minflt,majflt,nvcsw,nivcsw,allocated,numGcs,bytesCopied,mutatorWallSeconds,mutatorCpuSeconds,gcWallSeconds,gcCpuSeconds
Z3/v-->v/V1/Chc/558/numPlain/3898/Compression/0.6895279158140895/VCore_Total/1684/VCorePlain/1126/VCoreVar/558/Variants/2,1,4.084455559,16306932280,0.327693608,0.238381,8.9326e-2,1106968,0,0,22554,3,,,,,,,
Z3/v-->v/V1/Chc/558/numPlain/3898/Compression/0.6895279158140895/VCore_Total/1684/VCorePlain/1126/VCoreVar/558/Variants/2,2,8.129284993,32455640920,0.660642397,0.498194,0.162461,1107400,120,0,45102,8,,,,,,,
Z3/v-->v/V1/Chc/558/numPlain/3898/Compression/0.6895279158140895/VCore_Total/1684/VCorePlain/1126/VCoreVar/558/Variants/2,3,12.159173152,48544699760,1.000171527,0.740214,0.259981,1107664,60,0,67664,15,,,,,,,
Z3/v-->v/V1/Chc/558/numPlain/3898/Compression/0.6895279158140895/VCore_Total/1684/VCorePlain/1126/VCoreVar/558/Variants/2,4,16.358390991,65309800280,1.341789814,1.012001,0.329811,1115448,1938,0,90209,33,,,,,,,
Z3/v-->v/V1/Chc/558/numPlain/3898/Compression/0.6895279158140895/VCore_Total/1684/VCorePlain/1126/VCoreVar/558/Variants/2,5,20.313798954,81101508120,1.64000587,1.182728,0.457291,1140524,6149,0,112759,10,,,,,,,
Z3/v-->v/V1/Chc/558/numPlain/3898/Compression/0.6895279158140895/VCore_Total/1684/VCorePlain/1126/VCoreVar/558/Variants/2,6,24.483047065,97746950800,1.987285393,1.480832,0.506466,1140524,2,0,135328,13,,,,,,,
Z3/v-->v/V1/Chc/558/numPlain/3898/Compression/0.6895279158140895/VCore_Total/1684/VCorePlain/1126/VCoreVar/558/Variants/2,7,28.539682039,113942806200,2.319549444,1.68837,0.631193,1140524,1,0,157878,35,,,,,,,
Z3/v-->v/V1/Chc/558/numPlain/3898/Compression/0.6895279158140895/VCore_Total/1684/VCorePlain/1126/VCoreVar/558/Variants/2,8,32.608386127,130186837600,2.625609597,1.922881,0.702744,1140524,0,0,180404,72,,,,,,,
Z3/v-->v/V1/Chc/558/numPlain/3898/Compression/0.6895279158140895/VCore_Total/1684/VCorePlain/1126/VCoreVar/558/Variants/2,9,36.945972864,147504374960,2.977479906,2.200592,0.7769,1140788,4,0,202983,50,,,,,,,
Z3/v-->v/V1/Chc/558/numPlain/3898/Compression/0.6895279158140895/VCore_Total/1684/VCorePlain/1126/VCoreVar/558/Variants/2,10,40.903915735,163306205120,3.306715076,2.420181,0.886547,1140788,4,0,225545,50,,,,,,,
Z3/v-->v/V1/Chc/558/numPlain/3898/Compression/0.6895279158140895/VCore_Total/1684/VCorePlain/1126/VCoreVar/558/Variants/2,11,44.743899221,178637092680,3.651027422,2.670746,0.980294,1140788,2,0,248039,38,,,,,,,
Z3/v-->v/V1/Chc/558/numPlain/3898/Compression/0.6895279158140895/VCore_Total/1684/VCorePlain/1126/VCoreVar/558/Variants/2,12,48.630609616,194154537360,3.978281267,2.909292,1.069003,1140788,2,0,270564,23,,,,,,,
Z3/v-->v/V1/Chc/558/numPlain/3898/Compression/0.6895279158140895/VCore_Total/1684/VCorePlain/1126/VCoreVar/558/Variants/2,13,52.570710025,209885141080,4.35223883,3.149545,1.202707,1140788,0,0,293132,22,,,,,,,
Z3/v-->v/V1/Chc/558/numPlain/3898/Compression/0.6895279158140895/VCore_Total/1684/VCorePlain/1126/VCoreVar/558/Variants/2,14,56.926689593,227276112040,4.68894653,3.430115,1.258843,1140788,0,0,315702,24,,,,,,,
Z3/v-->v/V1/Chc/558/numPlain/3898/Compression/0.6895279158140895/VCore_Total/1684/VCorePlain/1126/VCoreVar/558/Variants/2,15,60.853232806,242952592160,5.006863795,3.711407,1.29547,1140788,2,0,338238,24,,,,,,,
Z3/v-->v/V1/Chc/558/numPlain/3898/Compression/0.6895279158140895/VCore_Total/1684/VCorePlain/1126/VCoreVar/558/Variants/2,16,65.385523692,261047477120,5.318055527,3.89748,1.420589,1140788,0,0,360834,65,,,,,,,
Z3/v-->v/V1/Chc/558/numPlain/3898/Compression/0.6895279158140895/VCore_Total/1684/VCorePlain/1126/VCoreVar/558/Variants/2,17,69.074884205,275777019320,5.68394492,4.114657,1.569301,1140788,0,0,383361,53,,,,,,,
Z3/v-->v/V1/Chc/558/numPlain/3898/Compression/0.6895279158140895/VCore_Total/1684/VCorePlain/1126/VCoreVar/558/Variants/2,18,73.446413256,293230074080,6.01496292,4.432233,1.582743,1140788,0,0,405932,58,,,,,,,
Z3/v-->v/V1/Chc/558/numPlain/3898/Compression/0.6895279158140895/VCore_Total/1684/VCorePlain/1126/VCoreVar/558/Variants/2,19,77.117374179,307886156360,6.394205366,4.687683,1.706535,1140788,2,0,428425,31,,,,,,,
Z3/v-->v/V1/Chc/558/numPlain/3898/Compression/0.6895279158140895/VCore_Total/1684/VCorePlain/1126/VCoreVar/558/Variants/2,20,81.387945392,324936146720,6.683227462,4.858896,1.824344,1140788,2,0,450979,69,,,,,,,
Z3/v-->v/V1/Chc/558/numPlain/3898/Compression/0.6895279158140895/VCore_Total/1684/VCorePlain/1126/VCoreVar/558/Variants/2,21,85.256118937,340379586720,7.039688569,5.137648,1.902054,1140788,0,0,473526,61,,,,,,,
Z3/v-->v/V1/Chc/558/numPlain/3898/Compression/0.6895279158140895/VCore_Total/1684/VCorePlain/1126/VCoreVar/558/Variants/2,22,89.783125804,358453378800,7.312840145,5.322414,1.99044,1140788,0,0,496142,79,,,,,,,
Z3/v-->v/V1/Chc/558/numPlain/3898/Compression/0.6895279158140895/VCore_Total/1684/VCorePlain/1126/VCoreVar/558/Variants/2,23,94.089598586,375646702600,7.575695103,5.561708,2.014011,1140788,0,0,518740,110,,,,,,,
Z3/v-->v/V1/Chc/558/numPlain/3898/Compression/0.6895279158140895/VCore_Total/1684/VCorePlain/1126/VCoreVar/558/Variants/2,25,101.722401277,406120181640,8.39050489,6.169357,2.22116,1140788,0,0,563762,77,,,,,,,
Z3/v-->v/V1/Chc/558/numPlain/3898/Compression/0.6895279158140895/VCore_Total/1684/VCorePlain/1126/VCoreVar/558/Variants/2,26,105.809083381,422436005320,8.811572673,6.532077,2.279509,1140788,0,0,586327,70,,,,,,,
Z3/v-->v/V1/Chc/558/numPlain/3898/Compression/0.6895279158140895/VCore_Total/1684/VCorePlain/1126/VCoreVar/558/Variants/2,27,109.835515133,438511283160,9.068552249,6.643609,2.424956,1140788,0,0,608885,71,,,,,,,
Z3/v-->v/V1/Chc/558/numPlain/3898/Compression/0.6895279158140895/VCore_Total/1684/VCorePlain/1126/VCoreVar/558/Variants/2,28,114.260954164,456179570240,9.348176085,6.895513,2.452676,1140788,0,0,631402,132,,,,,,,
Z3/v-->v/V1/Chc/558/numPlain/3898/Compression/0.6895279158140895/VCore_Total/1684/VCorePlain/1126/VCoreVar/558/Variants/2,30,122.121588001,487562649760,10.09095129,7.452229,2.638735,1140788,0,0,676472,137,,,,,,,
Z3/v-->v/V1/Chc/558/numPlain/3898/Compression/0.6895279158140895/VCore_Total/1684/VCorePlain/1126/VCoreVar/558/Variants/2,31,131.300342756,524208249840,10.888940962,8.090621,2.798335,1140788,0,0,699712,250,,,,,,,
Z3/v-->v/V1/Chc/558/numPlain/3898/Compression/0.6895279158140895/VCore_Total/1684/VCorePlain/1126/VCoreVar/558/Variants/2,33,140.865126915,562395035880,11.985450879,8.886628,3.098839,1140788,0,0,735875,4818,,,,,,,
Z3/v-->v/V1/Chc/558/numPlain/3898/Compression/0.6895279158140895/VCore_Total/1684/VCorePlain/1126/VCoreVar/558/Variants/2,35,142.67113966,569605431000,11.814319656,8.701563,3.112777,1140788,0,0,789351,174,,,,,,,
Z3/v-->v/V1/Chc/558/numPlain/3898/Compression/0.6895279158140895/VCore_Total/1684/VCorePlain/1126/VCoreVar/558/Variants/2,36,146.150497867,583496550000,12.083040818,8.817332,3.26573,1140788,0,0,811867,94,,,,,,,
Z3/v-->v/V1/Chc/558/numPlain/3898/Compression/0.6895279158140895/VCore_Total/1684/VCorePlain/1126/VCoreVar/558/Variants/2,38,154.915146819,618488852720,12.788518668,9.367657,3.420875,1140788,0,0,856989,292,,,,,,,
Z3/v-->v/V1/Chc/558/numPlain/3898/Compression/0.6895279158140895/VCore_Total/1684/VCorePlain/1126/VCoreVar/558/Variants/2,40,163.190203207,651526488840,13.523779598,9.92684,3.596953,1140788,0,0,902168,210,,,,,,,
Z3/v-->v/V1/Chc/558/numPlain/3898/Compression/0.6895279158140895/VCore_Total/1684/VCorePlain/1126/VCoreVar/558/Variants/2,42,171.503955408,684718613520,14.187207497,10.572327,3.614893,1140788,0,0,947221,197,,,,,,,
Z3/v-->v/V1/Chc/558/numPlain/3898/Compression/0.6895279158140895/VCore_Total/1684/VCorePlain/1126/VCoreVar/558/Variants/2,44,182.281366785,727746743360,15.051997299,11.125829,3.926182,1140788,4,0,992730,230,,,,,,,
Z3/v-->v/V1/Chc/558/numPlain/3898/Compression/0.6895279158140895/VCore_Total/1684/VCorePlain/1126/VCoreVar/558/Variants/2,47,192.859339639,769991810120,16.097649684,11.767721,4.329942,1140788,13,0,1060137,258,,,,,,,
Z3/v-->v/V1/Chc/558/numPlain/3898/Compression/0.6895279158140895/VCore_Total/1684/VCorePlain/1126/VCoreVar/558/Variants/2,49,199.98163826,798424558840,16.479875246,12.304453,4.175434,1140788,0,0,1104995,316,,,,,,,
Z3/v-->v/V1/Chc/558/numPlain/3898/Compression/0.6895279158140895/VCore_Total/1684/VCorePlain/1126/VCoreVar/558/Variants/2,52,211.937396879,846154866160,17.631989944,13.039421,4.592582,1140788,0,0,1172748,188,,,,,,,
Z3/v-->v/V1/Chc/558/numPlain/3898/Compression/0.6895279158140895/VCore_Total/1684/VCorePlain/1126/VCoreVar/558/Variants/2,54,220.836920481,881683872640,18.878360646,13.878212,5.000173,1140788,0,0,1217887,177,,,,,,,
Z3/v-->v/V1/Chc/558/numPlain/3898/Compression/0.6895279158140895/VCore_Total/1684/VCorePlain/1126/VCoreVar/558/Variants/2,57,232.693523014,929019426520,19.862424217,14.652351,5.210087,1140788,0,0,1285561,222,,,,,,,
Z3/v-->v/V1/Chc/558/numPlain/3898/Compression/0.6895279158140895/VCore_Total/1684/VCorePlain/1126/VCoreVar/558/Variants/2,60,244.860533762,977594647440,20.933240423,15.414991,5.518264,1140788,0,0,1353243,292,,,,,,,
Z3/v-->v/V1/Chc/558/numPlain/3898/Compression/0.6895279158140895/VCore_Total/1684/VCorePlain/1126/VCoreVar/558/Variants/2,63,257.671765158,1028742174320,22.005873321,16.283767,5.722122,1140788,0,0,1420880,410,,,,,,,
Z3/v-->v/V1/Chc/558/numPlain/3898/Compression/0.6895279158140895/VCore_Total/1684/VCorePlain/1126/VCoreVar/558/Variants/2,66,270.731549793,1080882242960,23.338107534,17.161281,6.176842,1140788,0,0,1488586,532,,,,,,,
Z3/v-->v/V1/Chc/558/numPlain/3898/Compression/0.6895279158140895/VCore_Total/1684/VCorePlain/1126/VCoreVar/558/Variants/2,69,282.052171792,1126078194080,24.48210884,18.042774,6.439348,1140788,0,0,1556342,407,,,,,,,
Z3/v-->v/V1/Chc/558/numPlain/3898/Compression/0.6895279158140895/VCore_Total/1684/VCorePlain/1126/VCoreVar/558/Variants/2,73,298.104697441,1190164652520,25.672390576,18.844912,6.827493,1140788,0,0,1646451,324,,,,,,,
Z3/v-->v/V1/Chc/558/numPlain/3898/Compression/0.6895279158140895/VCore_Total/1684/VCorePlain/1126/VCoreVar/558/Variants/2,76,309.961842582,1237504640560,26.35835591,19.527312,6.831057,1140788,0,0,1714057,295,,,,,,,
Z3/v-->v/V1/Chc/558/numPlain/3898/Compression/0.6895279158140895/VCore_Total/1684/VCorePlain/1126/VCoreVar/558/Variants/2,80,327.630897647,1308047959080,28.252899467,20.878486,7.374429,1140788,0,0,1804402,353,,,,,,,
Z3/v-->v/V1/Chc/558/numPlain/3898/Compression/0.6895279158140895/VCore_Total/1684/VCorePlain/1126/VCoreVar/558/Variants/2,84,343.624426393,1371901605680,29.323593811,21.657385,7.666224,1140788,0,0,1894571,438,,,,,,,
Z3/v-->v/V1/Chc/558/numPlain/3898/Compression/0.6895279158140895/VCore_Total/1684/VCorePlain/1126/VCoreVar/558/Variants/2,89,362.097349809,1445653938040,30.756211793,22.758015,7.998212,1140788,0,0,2007159,250,,,,,,,
Z3/v-->v/V1/Chc/558/numPlain/3898/Compression/0.6895279158140895/VCore_Total/1684/VCorePlain/1126/VCoreVar/558/Variants/2,93,378.082922986,1509474670840,32.077779977,23.714521,8.363282,1140788,0,0,2097334,245,,,,,,,
Z3/v-->v/V1/Chc/558/numPlain/3898/Compression/0.6895279158140895/VCore_Total/1684/VCorePlain/1126/VCoreVar/558/Variants/2,98,402.040976825,1605116835240,34.545422936,25.634538,8.910898,1140788,0,0,2210451,525,,,,,,,
Z3/v-->v/V1/Chc/558/numPlain/3898/Compression/0.6895279158140895/VCore_Total/1684/VCorePlain/1126/VCoreVar/558/Variants/2,103,421.194397635,1681589893840,34.95571068,26.055005,8.900719,1140788,0,0,2322898,470,,,,,,,
Z3/v-->v/V1/Chc/558/numPlain/3898/Compression/0.6895279158140895/VCore_Total/1684/VCorePlain/1126/VCoreVar/558/Variants/2,108,441.209579675,1761501346920,37.170848736,27.934243,9.23662,1140788,0,0,2435696,405,,,,,,,
Z3/v-->v/V1/Chc/558/numPlain/3898/Compression/0.6895279158140895/VCore_Total/1684/VCorePlain/1126/VCoreVar/558/Variants/2,113,459.862006958,1835970995160,38.888284014,29.05491,9.833388,1140788,0,0,2548247,286,,,,,,,
Z3/v-->v/V1/Chc/558/numPlain/3898/Compression/0.6895279158140895/VCore_Total/1684/VCorePlain/1126/VCoreVar/558/Variants/2,119,485.763187966,1939383199880,40.620202418,30.220634,10.399583,1140788,0,0,2683692,522,,,,,,,
Z3/v-->v/V1*V2/Chc/1322/numPlain/3143/Compression/0.43001393608958216/VCore_Total/2309/VCorePlain/996/VCoreVar/1313/Variants/4,1,11.369937939,45393956400,0.736210037,0.52615,0.210073,1192944,0,0,54013,20,,,,,,,
Z3/v-->v/V1*V2/Chc/1322/numPlain/3143/Compression/0.43001393608958216/VCore_Total/2309/VCorePlain/996/VCoreVar/1313/Variants/4,2,22.54674185,90016806840,1.464768956,1.092658,0.372123,1194884,507,0,107968,37,,,,,,,
