Name,iters,Time,cycles,cpuTime,utime,stime,maxrss,minflt,majflt,nvcsw,nivcsw,allocated,numGcs,bytesCopied,mutatorWallSeconds,mutatorCpuSeconds,gcWallSeconds,gcCpuSeconds
Yices/v-->v/V1/Chc/558/numPlain/3898/Compression/0.6895279158140895/VCore_Total/1684/VCorePlain/1126/VCoreVar/558/Variants/2,1,0.283421392,1131562160,0.287063342,0.204763,8.2315e-2,189968,2959,0,22232,1,,,,,,,
Yices/v-->v/V1/Chc/558/numPlain/3898/Compression/0.6895279158140895/VCore_Total/1684/VCorePlain/1126/VCoreVar/558/Variants/2,2,0.563229689,2248677960,0.582837836,0.42635,0.156509,198004,2582,0,44722,1,,,,,,,
Yices/v-->v/V1/Chc/558/numPlain/3898/Compression/0.6895279158140895/VCore_Total/1684/VCorePlain/1126/VCoreVar/558/Variants/2,3,0.817262864,3262891200,0.847897173,0.60731,0.2406,203892,2788,0,66757,5,,,,,,,
Yices/v-->v/V1/Chc/558/numPlain/3898/Compression/0.6895279158140895/VCore_Total/1684/VCorePlain/1126/VCoreVar/558/Variants/2,4,1.096088234,4376084760,1.1348518,0.800758,0.334106,208620,3320,0,89107,10,,,,,,,
Yices/v-->v/V1/Chc/558/numPlain/3898/Compression/0.6895279158140895/VCore_Total/1684/VCorePlain/1126/VCoreVar/558/Variants/2,5,1.306520706,5216222840,1.374540268,0.940162,0.43439,209088,1167,0,111214,6,,,,,,,
Yices/v-->v/V1/Chc/558/numPlain/3898/Compression/0.6895279158140895/VCore_Total/1684/VCorePlain/1126/VCoreVar/558/Variants/2,6,1.528341875,6101834240,1.623526498,1.158891,0.464649,209088,2312,0,133471,8,,,,,,,
Yices/v-->v/V1/Chc/558/numPlain/3898/Compression/0.6895279158140895/VCore_Total/1684/VCorePlain/1126/VCoreVar/558/Variants/2,7,1.809585082,7224684200,1.902332463,1.390261,0.512085,211036,1784,0,155409,4,,,,,,,
Yices/v-->v/V1/Chc/558/numPlain/3898/Compression/0.6895279158140895/VCore_Total/1684/VCorePlain/1126/VCoreVar/558/Variants/2,8,2.027165202,8093357320,2.13805672,1.547869,0.590201,211036,1542,0,177888,14,,,,,,,
Yices/v-->v/V1/Chc/558/numPlain/3898/Compression/0.6895279158140895/VCore_Total/1684/VCorePlain/1126/VCoreVar/558/Variants/2,9,2.24684628,8970423680,2.355169836,1.692494,0.662696,211036,500,0,200439,35,,,,,,,
Yices/v-->v/V1/Chc/558/numPlain/3898/Compression/0.6895279158140895/VCore_Total/1684/VCorePlain/1126/VCoreVar/558/Variants/2,10,2.494421402,9958853480,2.632062148,1.887078,0.744997,211036,2048,0,222659,20,,,,,,,
Yices/v-->v/V1/Chc/558/numPlain/3898/Compression/0.6895279158140895/VCore_Total/1684/VCorePlain/1126/VCoreVar/558/Variants/2,11,2.751763621,10986279640,2.914698113,2.128879,0.785847,211040,1887,0,245133,10,,,,,,,
Yices/v-->v/V1/Chc/558/numPlain/3898/Compression/0.6895279158140895/VCore_Total/1684/VCorePlain/1126/VCoreVar/558/Variants/2,12,3.252209638,12984283040,3.384196928,2.448939,0.935272,211040,2537,0,267300,4,,,,,,,
Yices/v-->v/V1/Chc/558/numPlain/3898/Compression/0.6895279158140895/VCore_Total/1684/VCorePlain/1126/VCoreVar/558/Variants/2,13,3.542626285,14143753760,3.66761013,2.678912,0.988711,211064,788,0,290673,19,,,,,,,
Yices/v-->v/V1/Chc/558/numPlain/3898/Compression/0.6895279158140895/VCore_Total/1684/VCorePlain/1126/VCoreVar/558/Variants/2,14,3.578680848,14287695880,3.799259266,2.668548,1.130722,211068,1294,0,312457,13,,,,,,,
Yices/v-->v/V1/Chc/558/numPlain/3898/Compression/0.6895279158140895/VCore_Total/1684/VCorePlain/1126/VCoreVar/558/Variants/2,15,3.799514016,15169360520,4.079175754,2.939166,1.140023,211068,1092,0,335979,15,,,,,,,
