name,iters,time,cycles,cpuTime,utime,stime,maxrss,minflt,majflt,nvcsw,nivcsw,allocated,numGcs,bytesCopied,mutatorWallSeconds,mutatorCpuSeconds,gcWallSeconds,gcCpuSeconds
Yices/v-->v/V1/Chc/0/numPlain/7803/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,1,0.339051383,1353638800,0.348170424,0.241312,0.106869,195860,1260,0,29848,0,,,,,,,
Yices/v-->v/V1/Chc/0/numPlain/7803/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,2,0.667852229,2666343680,0.694331577,0.486823,0.207521,206480,6293,0,60027,3,,,,,,,
Yices/v-->v/V1/Chc/0/numPlain/7803/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,3,0.976959296,3900425040,1.017781511,0.722133,0.295661,207732,3937,0,90121,1,,,,,,,
Yices/v-->v/V1/Chc/0/numPlain/7803/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,4,1.354371648,5407207560,1.410879209,1.019678,0.391224,207732,3804,0,119824,0,,,,,,,
Yices/v-->v/V1/Chc/0/numPlain/7803/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,5,1.649372517,6584967960,1.714214427,1.232795,0.481432,208980,4161,0,149532,2,,,,,,,
Yices/v-->v/V1/Chc/0/numPlain/7803/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,6,2.049528189,8182552800,2.173245901,1.539188,0.634069,208980,3839,0,181142,4,,,,,,,
Yices/v-->v/V1/Chc/0/numPlain/7803/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,7,2.512263411,10029981160,2.533612861,1.790469,0.743156,209616,3980,0,209303,4,,,,,,,
Yices/v-->v/V1/Chc/0/numPlain/7803/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,8,3.096705841,12363309440,3.069636764,2.216294,0.853354,209616,3842,0,239146,5,,,,,,,
Yices/v-->v/V1/Chc/0/numPlain/7803/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,9,3.0739517,12272467200,3.208415315,2.338794,0.869633,209616,3840,0,271213,4,,,,,,,
Yices/v-->v/V1/Chc/0/numPlain/7803/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,10,3.415281283,13635191400,3.514496354,2.590654,0.923853,209616,3840,0,299785,7,,,,,,,
Yices/v-->v/V1/Chc/0/numPlain/7803/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,11,3.811886825,15218603640,3.988722919,2.873905,1.114829,209616,3840,0,329058,4,,,,,,,
