name__,runNum__,scale__,time__
Unique/VSolve,1,10,6.02911e-3
name__,runNum__,scale__,time__
Shared/VSolve,1,10,4.863705e-3
name__,runNum__,scale__,time__
Unique/AndDecomp,1,10,3.313097e-3
name__,runNum__,scale__,time__
Shared/AndDecomp,1,10,3.7516e-3
name__,runNum__,scale__,time__
Unique/VSolve,2,10,1.51727e-3
name__,runNum__,scale__,time__
Shared/VSolve,2,10,5.915671e-3
name__,runNum__,scale__,time__
Unique/AndDecomp,2,10,1.567929e-3
name__,runNum__,scale__,time__
Shared/AndDecomp,2,10,3.704214e-3
name__,runNum__,scale__,time__
Unique/VSolve,3,10,3.41064e-3
name__,runNum__,scale__,time__
Shared/VSolve,3,10,1.973364e-3
name__,runNum__,scale__,time__
Unique/AndDecomp,3,10,3.217137e-3
name__,runNum__,scale__,time__
Shared/AndDecomp,3,10,1.331444e-3
name__,runNum__,scale__,time__
Unique/VSolve,4,10,2.129387e-3
name__,runNum__,scale__,time__
Shared/VSolve,4,10,1.2098121e-2
name__,runNum__,scale__,time__
Unique/AndDecomp,4,10,2.874318e-3
name__,runNum__,scale__,time__
Shared/AndDecomp,4,10,5.394133e-3
name__,runNum__,scale__,time__
Unique/VSolve,5,10,1.507195e-3
name__,runNum__,scale__,time__
Shared/VSolve,5,10,3.687633e-3
name__,runNum__,scale__,time__
Unique/AndDecomp,5,10,1.442222e-3
name__,runNum__,scale__,time__
Shared/AndDecomp,5,10,4.133463e-3
name__,runNum__,scale__,time__
Unique/VSolve,6,10,1.0025369e-2
name__,runNum__,scale__,time__
Shared/VSolve,6,10,1.0092404e-2
name__,runNum__,scale__,time__
Unique/AndDecomp,6,10,6.794936e-3
name__,runNum__,scale__,time__
Shared/AndDecomp,6,10,5.455097e-3
name__,runNum__,scale__,time__
Unique/VSolve,7,10,1.0781532e-2
name__,runNum__,scale__,time__
Shared/VSolve,7,10,2.002501e-3
name__,runNum__,scale__,time__
Unique/AndDecomp,7,10,4.989668e-3
name__,runNum__,scale__,time__
Shared/AndDecomp,7,10,1.963015e-3
name__,runNum__,scale__,time__
Unique/VSolve,8,10,2.766713e-3
name__,runNum__,scale__,time__
Shared/VSolve,8,10,7.138749e-3
name__,runNum__,scale__,time__
Unique/AndDecomp,8,10,2.665084e-3
name__,runNum__,scale__,time__
Shared/AndDecomp,8,10,3.48436e-3
name__,runNum__,scale__,time__
Unique/VSolve,9,10,6.578632e-3
name__,runNum__,scale__,time__
Shared/VSolve,9,10,9.381375e-3
name__,runNum__,scale__,time__
Unique/AndDecomp,9,10,3.949351e-3
name__,runNum__,scale__,time__
Shared/AndDecomp,9,10,4.275678e-3
name__,runNum__,scale__,time__
Unique/VSolve,10,10,2.126095e-3
name__,runNum__,scale__,time__
Shared/VSolve,10,10,2.632013e-3
name__,runNum__,scale__,time__
Unique/AndDecomp,10,10,3.093981e-3
name__,runNum__,scale__,time__
Shared/AndDecomp,10,10,2.808818e-3
name__,runNum__,scale__,time__
Unique/VSolve,11,20,1.400662e-3
name__,runNum__,scale__,time__
Shared/VSolve,11,20,7.706343e-3
name__,runNum__,scale__,time__
Unique/AndDecomp,11,20,1.290259e-3
name__,runNum__,scale__,time__
Shared/AndDecomp,11,20,6.517128e-3
name__,runNum__,scale__,time__
Unique/VSolve,12,20,5.850835e-3
name__,runNum__,scale__,time__
Shared/VSolve,12,20,2.548531e-2
name__,runNum__,scale__,time__
Unique/AndDecomp,12,20,4.785396e-3
name__,runNum__,scale__,time__
Shared/AndDecomp,12,20,1.0532226e-2
name__,runNum__,scale__,time__
Unique/VSolve,13,20,2.0376395e-2
name__,runNum__,scale__,time__
Shared/VSolve,13,20,1.3959486e-2
name__,runNum__,scale__,time__
Unique/AndDecomp,13,20,7.49671e-3
name__,runNum__,scale__,time__
Shared/AndDecomp,13,20,8.776052e-3
name__,runNum__,scale__,time__
Unique/VSolve,14,20,7.902731e-3
name__,runNum__,scale__,time__
Shared/VSolve,14,20,9.442823e-3
name__,runNum__,scale__,time__
Unique/AndDecomp,14,20,6.451166e-3
name__,runNum__,scale__,time__
Shared/AndDecomp,14,20,5.356414e-3
name__,runNum__,scale__,time__
Unique/VSolve,15,20,1.1731867e-2
name__,runNum__,scale__,time__
Shared/VSolve,15,20,1.7698406e-2
name__,runNum__,scale__,time__
Unique/AndDecomp,15,20,6.776323e-3
name__,runNum__,scale__,time__
Shared/AndDecomp,15,20,7.169336e-3
name__,runNum__,scale__,time__
Unique/VSolve,16,20,8.414782e-3
name__,runNum__,scale__,time__
Shared/VSolve,16,20,8.89971e-3
name__,runNum__,scale__,time__
Unique/AndDecomp,16,20,6.954863e-3
name__,runNum__,scale__,time__
Shared/AndDecomp,16,20,5.154978e-3
name__,runNum__,scale__,time__
Unique/VSolve,17,20,8.402246e-3
name__,runNum__,scale__,time__
Shared/VSolve,17,20,3.774439e-3
name__,runNum__,scale__,time__
Unique/AndDecomp,17,20,5.434254e-3
name__,runNum__,scale__,time__
Shared/AndDecomp,17,20,3.13494e-3
name__,runNum__,scale__,time__
Unique/VSolve,18,20,1.6853511e-2
name__,runNum__,scale__,time__
Shared/VSolve,18,20,1.6639285e-2
name__,runNum__,scale__,time__
