Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
vsat/VSolve/Empty/Chc/0/VariantSize/0/numPlain/0/RightGen,1.4399160753892833e-2,1.422407018450114e-2,1.4643131317223793e-2,4.8272385866432937e-4,2.461893780723003e-4,7.687471559987918e-4
vsat/VSolve/Empty/Chc/0/VariantSize/0/numPlain/100/RightGen,2.5122699767305415e-2,2.4780418852101076e-2,2.5441468935330728e-2,8.242718639080279e-4,6.594424538556201e-4,1.162432461314836e-3
vsat/VSolve/Empty/Chc/0/VariantSize/0/numPlain/200/RightGen,3.796586529861321e-2,3.728917912347144e-2,3.8596921145048126e-2,1.366396956814184e-3,1.029546093035556e-3,1.9145350135280736e-3
vsat/VSolve/Empty/Chc/0/VariantSize/0/numPlain/300/RightGen,4.904335947358784e-2,4.832955786608369e-2,5.063784125833929e-2,1.9136816103007361e-3,7.135742281124055e-4,3.272524067153254e-3
vsat/VSolve/Empty/Chc/0/VariantSize/0/numPlain/400/RightGen,6.0749761867170175e-2,5.957454503506462e-2,6.239014684890675e-2,2.5032607488993434e-3,1.644975420137871e-3,3.5936038795198284e-3
vsat/VSolve/Empty/Chc/0/VariantSize/0/numPlain/500/RightGen,7.443534441521502e-2,7.337220105541083e-2,7.559140488072806e-2,1.9914640721644407e-3,1.632837315428076e-3,2.5071947987146286e-3
vsat/VSolve/Empty/Chc/0/VariantSize/0/numPlain/600/RightGen,8.345878247848564e-2,8.221265183601645e-2,8.601241777692849e-2,2.6637367984726455e-3,1.304269280534016e-3,3.926168172184207e-3
vsat/VSolve/Empty/Chc/0/VariantSize/0/numPlain/700/RightGen,0.10010516874991245,9.75081340330184e-2,0.10572280537373985,5.568525944414921e-3,2.6301147215266525e-3,8.981704417657978e-3
vsat/VSolve/Empty/Chc/0/VariantSize/0/numPlain/800/RightGen,0.11733549127783958,0.11534845859701125,0.11972083688776279,3.4289078835234776e-3,2.182628382301366e-3,4.83806072314623e-3
vsat/VSolve/Empty/Chc/0/VariantSize/0/numPlain/900/RightGen,0.1336655503024152,0.127142299636868,0.1418339218333434,9.99198554210942e-3,6.052603255106813e-3,1.3717225815356145e-2
vsat/VSolve/Empty/Chc/0/VariantSize/0/numPlain/1000/RightGen,0.15040608080908854,0.14624878336170305,0.15377652089323202,5.640702989271852e-3,3.8065563320178785e-3,7.88804268618858e-3
vsat/VSolve/Empty/Chc/0/VariantSize/0/numPlain/1100/RightGen,0.1579041510564072,0.15358706116373907,0.16942264972006954,1.0179610369854193e-2,1.5606178203587447e-3,1.564833806980288e-2
vsat/VSolve/Empty/Chc/0/VariantSize/0/numPlain/1200/RightGen,0.17646208209723172,0.17225635299993364,0.1797552470294237,5.5246708313389965e-3,3.577077636662137e-3,7.6178339144282745e-3
vsat/VSolve/Empty/Chc/0/VariantSize/0/numPlain/1300/RightGen,0.19643716098340114,0.1927008388667875,0.2045880006664649,7.016932605150574e-3,2.9697231577640974e-3,1.0602663771117892e-2
vsat/VSolve/Empty/Chc/0/VariantSize/0/numPlain/1400/RightGen,0.21268350228963553,0.2053650079728363,0.21799294352846724,8.33410134314648e-3,5.712080408726494e-3,1.1333641298417676e-2
vsat/VSolve/Empty/Chc/0/VariantSize/0/numPlain/1500/RightGen,0.24058701122725323,0.2361887537191069,0.24868690100120147,8.506089275132347e-3,5.961249166933167e-4,1.1142524763344435e-2
vsat/VSolve/Empty/Chc/0/VariantSize/0/numPlain/1600/RightGen,0.2536293848563703,0.24805097464666082,0.26021672353992475,7.991150283901708e-3,6.25918479372216e-3,9.305414219359771e-3
vsat/VSolve/Empty/Chc/0/VariantSize/0/numPlain/1700/RightGen,0.2770726356819796,0.2723654467162851,0.2849023216983187,8.360708444104555e-3,1.0644259622865871e-3,1.122992038729481e-2
vsat/VSolve/Empty/Chc/0/VariantSize/0/numPlain/1800/RightGen,0.30260514181359516,0.29461154969282993,0.31059873393436044,1.0191457284188606e-2,7.938489729256211e-3,1.1875875279703654e-2
vsat/VSolve/Empty/Chc/0/VariantSize/0/numPlain/1900/RightGen,0.32525382819687365,0.31419515053945357,0.3324884617337375,1.189815168450885e-2,8.678561682922917e-3,1.5080685489917024e-2
vsat/VSolve/Empty/Chc/0/VariantSize/0/numPlain/2000/RightGen,0.3278660570707143,0.32039619532035435,0.33552094405131355,9.715091098416886e-3,6.8126544857829005e-3,1.2356468904232192e-2
vsat/VSolve/Empty/Chc/0/VariantSize/0/numPlain/2100/RightGen,0.35555809500131846,0.3454902320022484,0.3609127182509534,9.570895208694235e-3,2.0776994997504517e-3,1.2365972698343046e-2
vsat/VSolve/Empty/Chc/0/VariantSize/0/numPlain/2200/RightGen,0.3884860265407042,0.38274638587517984,0.3926672249981493,5.5398705476280815e-3,2.6650238302059533e-4,6.760817358094708e-3
